case_id,ground_truth_outcome,downstream_signal,backfill_observed_at,modeled_loss_usd,reviewer_was_wrong
CASE_0302_20260402,EDD_REQUIRED,charge_off_30d,2026-05-12,10909.74,True
CASE_0305_20260503,REJECT,charge_off_30d,2026-06-17,23542.23,True
CASE_0310_20260313,EDD_REQUIRED,sar_filed_later,2026-08-26,0.0,True
CASE_0317_20260512,REJECT,regulatory_finding_ofac_match,2026-06-08,420000.00,True
CASE_0318_20260519,APPROVE,customer_complaint_cfpb,2026-07-08,0.0,True
CASE_0322_20260313,EDD_REQUIRED,charge_off_30d,2026-07-28,31207.82,True
CASE_0335_20260503,APPROVE,sar_filed_later,2026-07-08,0.0,True
CASE_0340_20260511,APPROVE,customer_complaint_cfpb,2026-08-30,0.0,True
CASE_0360_20260330,EDD_REQUIRED,sar_filed_later,2026-06-21,0.0,True
CASE_0367_20260309,REJECT,sar_filed_later,2026-05-31,0.0,True
CASE_0370_20260327,APPROVE,regulatory_finding_ofac_match,2026-05-07,408473.52,True
CASE_0375_20260401,APPROVE,sar_filed_later,2026-08-13,0.0,True
CASE_0380_20260526,EDD_REQUIRED,charge_off_30d,2026-10-30,13827.42,True
CASE_0389_20260425,APPROVE,customer_complaint_cfpb,2026-10-03,0.0,True
CASE_0393_20260311,REJECT,fraud_loss,2026-06-06,66412.51,True
CASE_0396_20260503,EDD_REQUIRED,charge_off_30d,2026-06-15,2445.02,True
CASE_0401_20260318,EDD_REQUIRED,sar_filed_later,2026-08-30,0.0,True
CASE_0405_20260303,EDD_REQUIRED,sar_filed_later,2026-04-27,0.0,True
CASE_0408_20260426,EDD_REQUIRED,regulatory_finding_aml,2026-07-07,0.0,True
CASE_0409_20260527,APPROVE,customer_complaint_cfpb,2026-11-20,0.0,True
CASE_0410_20260425,EDD_REQUIRED,customer_complaint_cfpb,2026-05-23,0.0,True
CASE_0414_20260420,REJECT,fraud_loss,2026-06-05,47353.35,True
CASE_0421_20260422,REJECT,sar_filed_later,2026-09-06,0.0,True
CASE_0429_20260513,REJECT,sar_filed_later,2026-08-04,0.0,True
CASE_0433_20260331,EDD_REQUIRED,regulatory_finding_ofac_match,2026-08-05,384475.85,True
CASE_0434_20260508,REJECT,customer_complaint_cfpb,2026-07-28,0.0,True
CASE_0437_20260516,REJECT,charge_off_30d,2026-07-03,64465.09,True
CASE_0443_20260328,APPROVE,sar_filed_later,2026-08-20,0.0,True
CASE_0447_20260318,EDD_REQUIRED,sar_filed_later,2026-04-20,0.0,True
CASE_0451_20260527,EDD_REQUIRED,sar_filed_later,2026-08-29,0.0,True
CASE_0458_20260501,EDD_REQUIRED,sar_filed_later,2026-08-09,0.0,True
CASE_0460_20260409,EDD_REQUIRED,sar_filed_later,2026-08-05,0.0,True
CASE_0469_20260329,EDD_REQUIRED,charge_off_30d,2026-05-21,73336.53,True
CASE_0485_20260428,REJECT,charge_off_30d,2026-07-23,74630.68,True
CASE_0499_20260523,EDD_REQUIRED,charge_off_30d,2026-06-29,44782.9,True
CASE_0505_20260325,APPROVE,charge_off_30d,2026-09-09,30177.38,True
CASE_0517_20260404,APPROVE,fraud_loss,2026-05-24,48166.28,True
CASE_0518_20260428,EDD_REQUIRED,charge_off_30d,2026-08-30,69653.25,True
CASE_0526_20260313,EDD_REQUIRED,sar_filed_later,2026-07-10,0.0,True
CASE_0529_20260512,REJECT,charge_off_30d,2026-07-06,15029.85,True
CASE_0535_20260314,EDD_REQUIRED,sar_filed_later,2026-07-01,0.0,True
CASE_0543_20260401,EDD_REQUIRED,customer_complaint_cfpb,2026-06-30,0.0,True
CASE_0547_20260511,EDD_REQUIRED,regulatory_finding_aml,2026-09-21,0.0,True
CASE_0551_20260517,EDD_REQUIRED,sar_filed_later,2026-06-18,0.0,True
CASE_0553_20260523,APPROVE,regulatory_finding_aml,2026-07-20,0.0,True
CASE_0556_20260326,APPROVE,charge_off_30d,2026-05-10,38894.89,True
CASE_0557_20260526,EDD_REQUIRED,charge_off_30d,2026-11-03,32998.1,True
CASE_0560_20260530,APPROVE,sar_filed_later,2026-07-26,0.0,True
CASE_0569_20260419,REJECT,regulatory_finding_ofac_match,2026-10-08,297910.52,True
CASE_0571_20260409,REJECT,regulatory_finding_aml,2026-05-24,0.0,True
CASE_0576_20260515,EDD_REQUIRED,sar_filed_later,2026-10-16,0.0,True
CASE_0586_20260311,REJECT,regulatory_finding_ofac_match,2026-07-04,260148.97,True
CASE_0597_20260304,APPROVE,charge_off_30d,2026-04-27,5440.19,True
CASE_0599_20260404,REJECT,customer_complaint_cfpb,2026-06-19,0.0,True
CASE_0600_20260421,APPROVE,charge_off_30d,2026-10-09,61615.25,True
CASE_0601_20260515,REJECT,sar_filed_later,2026-08-01,0.0,True
CASE_0602_20260516,REJECT,fraud_loss,2026-06-10,6721.68,True
CASE_0609_20260305,APPROVE,sar_filed_later,2026-05-24,0.0,True
CASE_0610_20260525,EDD_REQUIRED,charge_off_30d,2026-08-25,29855.54,True
CASE_0614_20260421,APPROVE,regulatory_finding_aml,2026-05-28,0.0,True
CASE_0617_20260410,REJECT,charge_off_30d,2026-09-17,48321.35,True
CASE_0618_20260312,APPROVE,customer_complaint_cfpb,2026-06-09,0.0,True
CASE_0620_20260322,REJECT,sar_filed_later,2026-05-02,0.0,True
CASE_0624_20260508,EDD_REQUIRED,sar_filed_later,2026-06-16,0.0,True
CASE_0627_20260526,EDD_REQUIRED,customer_complaint_cfpb,2026-09-09,0.0,True
CASE_0632_20260510,APPROVE,sar_filed_later,2026-10-15,0.0,True
CASE_0633_20260318,APPROVE,charge_off_30d,2026-09-04,36598.94,True
CASE_0634_20260428,REJECT,customer_complaint_cfpb,2026-10-05,0.0,True
CASE_0639_20260530,REJECT,charge_off_30d,2026-07-19,67718.28,True
CASE_0640_20260420,APPROVE,regulatory_finding_aml,2026-09-04,0.0,True
CASE_0643_20260315,REJECT,sar_filed_later,2026-08-26,0.0,True
CASE_0644_20260315,EDD_REQUIRED,charge_off_30d,2026-08-28,12529.14,True
CASE_0646_20260408,APPROVE,charge_off_30d,2026-08-03,59887.35,True
CASE_0655_20260410,REJECT,customer_complaint_cfpb,2026-07-17,0.0,True
CASE_0656_20260420,EDD_REQUIRED,charge_off_30d,2026-10-08,22494.19,True
CASE_0668_20260323,REJECT,sar_filed_later,2026-05-01,0.0,True
CASE_0673_20260412,APPROVE,customer_complaint_cfpb,2026-05-06,0.0,True
CASE_0677_20260509,REJECT,fraud_loss,2026-08-14,24963.2,True
CASE_0684_20260405,REJECT,fraud_loss,2026-05-08,70017.48,True
CASE_0687_20260507,REJECT,customer_complaint_cfpb,2026-07-05,0.0,True
CASE_0690_20260320,EDD_REQUIRED,customer_complaint_cfpb,2026-04-16,0.0,True
CASE_0692_20260426,EDD_REQUIRED,fraud_loss,2026-08-09,26719.19,True
CASE_0695_20260505,EDD_REQUIRED,customer_complaint_cfpb,2026-09-27,0.0,True
CASE_0706_20260305,REJECT,charge_off_30d,2026-07-22,14889.41,True
CASE_0709_20260302,EDD_REQUIRED,charge_off_30d,2026-04-29,28221.36,True
CASE_0716_20260318,EDD_REQUIRED,charge_off_30d,2026-04-09,21668.44,True
CASE_0719_20260309,APPROVE,sar_filed_later,2026-08-01,0.0,True
CASE_0723_20260519,APPROVE,customer_complaint_cfpb,2026-09-15,0.0,True
CASE_0726_20260307,APPROVE,sar_filed_later,2026-04-17,0.0,True
CASE_0732_20260507,REJECT,sar_filed_later,2026-07-17,0.0,True
CASE_0738_20260309,EDD_REQUIRED,fraud_loss,2026-05-23,41496.88,True
CASE_0740_20260402,REJECT,sar_filed_later,2026-08-08,0.0,True
CASE_0741_20260312,EDD_REQUIRED,sar_filed_later,2026-07-16,0.0,True
CASE_0744_20260322,EDD_REQUIRED,sar_filed_later,2026-04-08,0.0,True
CASE_0768_20260530,APPROVE,charge_off_30d,2026-10-28,44475.43,True
CASE_0769_20260505,EDD_REQUIRED,charge_off_30d,2026-08-12,34231.69,True
CASE_0773_20260414,EDD_REQUIRED,sar_filed_later,2026-05-31,0.0,True
CASE_0774_20260428,REJECT,regulatory_finding_ofac_match,2026-06-30,469810.66,True
CASE_0784_20260319,APPROVE,customer_complaint_cfpb,2026-05-07,0.0,True
CASE_0785_20260313,REJECT,sar_filed_later,2026-06-19,0.0,True
CASE_0787_20260506,REJECT,sar_filed_later,2026-07-08,0.0,True
CASE_0788_20260311,EDD_REQUIRED,customer_complaint_cfpb,2026-04-30,0.0,True
CASE_0789_20260411,APPROVE,charge_off_30d,2026-06-20,5550.83,True
CASE_0791_20260518,REJECT,regulatory_finding_ofac_match,2026-08-05,50708.11,True
CASE_0795_20260515,APPROVE,customer_complaint_cfpb,2026-10-25,0.0,True
CASE_0802_20260330,EDD_REQUIRED,fraud_loss,2026-07-19,71539.46,True
CASE_0804_20260301,APPROVE,sar_filed_later,2026-07-08,0.0,True
CASE_0806_20260406,REJECT,customer_complaint_cfpb,2026-05-11,0.0,True
CASE_0824_20260326,REJECT,charge_off_30d,2026-06-14,54901.44,True
CASE_0829_20260522,APPROVE,charge_off_30d,2026-07-01,42292.29,True
CASE_0861_20260315,EDD_REQUIRED,customer_complaint_cfpb,2026-04-30,0.0,True
CASE_0883_20260426,REJECT,regulatory_finding_aml,2026-09-19,0.0,True
CASE_0893_20260510,REJECT,customer_complaint_cfpb,2026-06-11,0.0,True
CASE_0894_20260318,APPROVE,customer_complaint_cfpb,2026-06-22,0.0,True
CASE_0898_20260524,EDD_REQUIRED,fraud_loss,2026-06-30,33719.55,True
CASE_0900_20260530,EDD_REQUIRED,customer_complaint_cfpb,2026-11-18,0.0,True
CASE_0904_20260523,EDD_REQUIRED,charge_off_30d,2026-10-02,63935.02,True
CASE_0905_20260314,EDD_REQUIRED,charge_off_30d,2026-08-29,48091.75,True
CASE_0909_20260402,APPROVE,fraud_loss,2026-07-30,36468.21,True
CASE_0914_20260330,APPROVE,charge_off_30d,2026-07-25,24219.76,True
CASE_0922_20260407,EDD_REQUIRED,sar_filed_later,2026-05-20,0.0,True
CASE_0937_20260326,REJECT,charge_off_30d,2026-09-06,8791.18,True
CASE_0938_20260408,APPROVE,charge_off_30d,2026-09-17,22861.26,True
CASE_0939_20260526,EDD_REQUIRED,fraud_loss,2026-06-23,59163.43,True
CASE_0946_20260503,APPROVE,charge_off_30d,2026-09-30,57385.77,True
CASE_0949_20260401,EDD_REQUIRED,charge_off_30d,2026-07-03,79362.17,True
CASE_0951_20260301,REJECT,sar_filed_later,2026-04-20,0.0,True
CASE_0952_20260317,REJECT,fraud_loss,2026-08-26,21226.78,True
CASE_0960_20260429,REJECT,regulatory_finding_ofac_match,2026-06-17,365608.31,True
CASE_0961_20260516,REJECT,regulatory_finding_ofac_match,2026-09-25,101186.37,True
CASE_0962_20260326,EDD_REQUIRED,fraud_loss,2026-06-11,74328.08,True
CASE_0963_20260308,EDD_REQUIRED,charge_off_30d,2026-08-23,46125.48,True
CASE_0978_20260312,REJECT,charge_off_30d,2026-03-29,37460.8,True
CASE_0979_20260511,EDD_REQUIRED,sar_filed_later,2026-10-30,0.0,True
CASE_0985_20260514,REJECT,fraud_loss,2026-09-15,4427.02,True
CASE_0990_20260326,APPROVE,customer_complaint_cfpb,2026-05-02,0.0,True
CASE_0992_20260406,REJECT,customer_complaint_cfpb,2026-10-03,0.0,True
CASE_0995_20260328,APPROVE,customer_complaint_cfpb,2026-06-04,0.0,True
CASE_0996_20260312,REJECT,customer_complaint_cfpb,2026-05-28,0.0,True
