case_id,customer_id,ingested_at,ai_confidence,ai_decision,difficulty_score,customer_tier,country_risk_tier,true_outcome,case_value_usd
CASE_0071_20260313,CUST_364107,2026-03-13T04:43:00Z,0.625,APPROVE,3,private_banking,1,APPROVE,236838.97
CASE_0072_20260317,CUST_631811,2026-03-17T15:54:00Z,0.98,APPROVE,2,private_banking,1,APPROVE,70752.0
CASE_0073_20260310,CUST_786092,2026-03-10T23:04:00Z,0.724,APPROVE,3,retail,1,,27761.36
CASE_0074_20260415,CUST_599083,2026-04-15T20:35:00Z,0.965,APPROVE,1,retail,3,,82287.85
CASE_0075_20260416,CUST_192408,2026-04-16T03:11:00Z,0.898,APPROVE,3,retail,1,,70233.47
CASE_0076_20260529,CUST_103603,2026-05-29T20:42:00Z,0.859,APPROVE,2,retail,2,APPROVE,160651.32
CASE_0077_20260331,CUST_619260,2026-03-31T20:39:00Z,0.966,APPROVE,1,sme,2,,637.73
CASE_0078_20260530,CUST_151227,2026-05-30T12:16:00Z,0.92,APPROVE,2,sme,1,APPROVE,187611.21
CASE_0079_20260530,CUST_747267,2026-05-30T09:33:00Z,0.96,APPROVE,1,retail,2,,26473.81
CASE_0080_20260519,CUST_919766,2026-05-19T10:00:00Z,0.547,APPROVE,3,retail,4,,177642.09
CASE_0081_20260524,CUST_267366,2026-05-24T06:42:00Z,0.877,APPROVE,4,retail,3,REJECT,147039.72
CASE_0082_20260324,CUST_413886,2026-03-24T22:03:00Z,0.967,APPROVE,1,sme,2,,206288.41
CASE_0083_20260527,CUST_619568,2026-05-27T13:18:00Z,0.762,APPROVE,3,sme,3,EDD_REQUIRED,230341.02
CASE_0084_20260416,CUST_834815,2026-04-16T12:09:00Z,0.735,APPROVE,3,retail,1,APPROVE,167056.44
CASE_0085_20260510,CUST_460444,2026-05-10T07:06:00Z,0.741,APPROVE,3,retail,1,,57838.1
CASE_0086_20260311,CUST_620007,2026-03-11T18:57:00Z,0.882,APPROVE,3,retail,2,APPROVE,33089.81
CASE_0087_20260304,CUST_860481,2026-03-04T12:59:00Z,0.962,APPROVE,1,retail,1,,209050.29
CASE_0088_20260420,CUST_208201,2026-04-20T20:28:00Z,0.517,APPROVE,4,retail,1,APPROVE,122036.72
CASE_0089_20260427,CUST_305934,2026-04-27T05:49:00Z,0.655,APPROVE,4,retail,1,APPROVE,58678.68
CASE_0090_20260409,CUST_869867,2026-04-09T06:11:00Z,0.865,APPROVE,4,retail,1,APPROVE,169413.04
CASE_0091_20260508,CUST_579358,2026-05-08T09:39:00Z,0.936,APPROVE,2,private_banking,2,,132826.39
CASE_0092_20260309,CUST_839305,2026-03-09T22:22:00Z,0.874,APPROVE,4,retail,1,,189851.39
CASE_0093_20260419,CUST_962240,2026-04-19T21:02:00Z,0.968,APPROVE,3,retail,2,,160473.65
CASE_0094_20260322,CUST_961623,2026-03-22T01:46:00Z,0.539,APPROVE,5,retail,3,APPROVE,38256.08
CASE_0095_20260424,CUST_635910,2026-04-24T22:11:00Z,0.923,EDD_REQUIRED,1,retail,2,EDD_REQUIRED,25570.16
CASE_0096_20260403,CUST_689941,2026-04-03T17:02:00Z,0.698,APPROVE,4,retail,3,APPROVE,90317.06
CASE_0097_20260425,CUST_511791,2026-04-25T00:34:00Z,0.982,APPROVE,1,sme,3,APPROVE,227415.45
CASE_0098_20260525,CUST_273761,2026-05-25T22:23:00Z,0.988,APPROVE,2,retail,2,APPROVE,48240.04
CASE_0099_20260413,CUST_900843,2026-04-13T04:31:00Z,0.634,APPROVE,5,retail,1,,22439.04
CASE_0100_20260402,CUST_451820,2026-04-02T20:41:00Z,0.872,APPROVE,3,retail,3,,59833.87
CASE_0101_20260331,CUST_550933,2026-03-31T02:44:00Z,0.727,APPROVE,3,sme,1,,241878.62
CASE_0102_20260415,CUST_401188,2026-04-15T15:24:00Z,0.867,EDD_REQUIRED,2,retail,3,EDD_REQUIRED,185627.29
CASE_0103_20260414,CUST_543768,2026-04-14T11:34:00Z,0.571,APPROVE,5,sme,3,APPROVE,230609.06
CASE_0104_20260303,CUST_231699,2026-03-03T00:45:00Z,0.483,APPROVE,5,private_banking,1,,229906.36
CASE_0105_20260318,CUST_716709,2026-03-18T14:46:00Z,0.955,APPROVE,3,retail,2,EDD_REQUIRED,232513.94
CASE_0106_20260321,CUST_601253,2026-03-21T11:28:00Z,0.855,APPROVE,3,retail,3,REJECT,188378.25
CASE_0107_20260515,CUST_554868,2026-05-15T20:26:00Z,0.974,APPROVE,2,retail,1,APPROVE,233815.73
CASE_0108_20260407,CUST_798373,2026-04-07T09:44:00Z,0.88,APPROVE,3,private_banking,3,APPROVE,186530.45
CASE_0109_20260505,CUST_749689,2026-05-05T07:44:00Z,0.735,APPROVE,3,retail,1,,147025.55
CASE_0110_20260425,CUST_989959,2026-04-25T15:56:00Z,0.668,EDD_REQUIRED,4,retail,2,APPROVE,75664.83
CASE_0111_20260429,CUST_563698,2026-04-29T04:33:00Z,0.857,APPROVE,3,private_banking,2,EDD_REQUIRED,134985.95
CASE_0112_20260513,CUST_472039,2026-05-13T18:34:00Z,0.619,APPROVE,3,retail,1,APPROVE,80932.18
CASE_0113_20260524,CUST_614792,2026-05-24T19:08:00Z,0.767,APPROVE,3,retail,2,APPROVE,192171.53
CASE_0114_20260401,CUST_686565,2026-04-01T19:11:00Z,0.702,APPROVE,4,retail,4,APPROVE,196322.87
CASE_0115_20260308,CUST_482540,2026-03-08T08:11:00Z,0.96,APPROVE,2,retail,2,APPROVE,32108.54
CASE_0116_20260309,CUST_623817,2026-03-09T17:59:00Z,0.914,APPROVE,2,retail,1,APPROVE,127471.99
CASE_0117_20260424,CUST_381971,2026-04-24T04:23:00Z,0.895,APPROVE,2,sme,4,APPROVE,52416.48
CASE_0118_20260514,CUST_812258,2026-05-14T06:38:00Z,0.898,APPROVE,2,retail,1,APPROVE,49070.41
CASE_0119_20260426,CUST_590118,2026-04-26T03:52:00Z,0.931,APPROVE,1,private_banking,4,,54364.24
CASE_0120_20260317,CUST_570868,2026-03-17T19:04:00Z,0.892,APPROVE,3,private_banking,3,EDD_REQUIRED,61974.05
CASE_0121_20260502,CUST_640258,2026-05-02T04:45:00Z,0.886,APPROVE,3,retail,3,APPROVE,114050.46
CASE_0122_20260429,CUST_971941,2026-04-29T23:47:00Z,0.901,APPROVE,1,retail,2,,104250.02
CASE_0123_20260424,CUST_667569,2026-04-24T08:27:00Z,0.951,APPROVE,1,private_banking,3,APPROVE,8932.74
CASE_0124_20260510,CUST_472498,2026-05-10T01:01:00Z,0.887,APPROVE,3,sme,1,,165090.17
CASE_0125_20260515,CUST_653625,2026-05-15T10:03:00Z,0.906,APPROVE,1,retail,3,APPROVE,70594.41
CASE_0126_20260409,CUST_462211,2026-04-09T06:40:00Z,0.914,APPROVE,1,retail,1,,96767.54
CASE_0127_20260415,CUST_504311,2026-04-15T23:44:00Z,0.9,APPROVE,4,private_banking,2,APPROVE,150072.09
CASE_0128_20260327,CUST_347006,2026-03-27T16:15:00Z,0.975,APPROVE,1,retail,1,,1033.38
CASE_0129_20260429,CUST_755987,2026-04-29T00:35:00Z,0.638,APPROVE,5,retail,4,APPROVE,17525.48
CASE_0130_20260427,CUST_826344,2026-04-27T12:21:00Z,0.971,APPROVE,1,retail,2,EDD_REQUIRED,96687.06
CASE_0131_20260423,CUST_728963,2026-04-23T02:22:00Z,0.579,APPROVE,5,retail,1,APPROVE,79271.36
CASE_0132_20260521,CUST_865080,2026-05-21T02:34:00Z,0.977,APPROVE,2,private_banking,4,REJECT,34724.38
CASE_0133_20260417,CUST_651950,2026-04-17T16:46:00Z,0.985,APPROVE,2,sme,1,REJECT,205322.43
CASE_0134_20260331,CUST_952622,2026-03-31T17:52:00Z,0.605,APPROVE,4,retail,1,,137967.05
CASE_0135_20260303,CUST_947164,2026-03-03T17:21:00Z,0.864,APPROVE,4,retail,2,REJECT,140674.94
CASE_0136_20260517,CUST_313413,2026-05-17T09:29:00Z,0.984,APPROVE,2,retail,1,APPROVE,1805.52
CASE_0137_20260413,CUST_488699,2026-04-13T11:17:00Z,0.874,APPROVE,2,retail,1,APPROVE,15140.61
CASE_0138_20260427,CUST_846448,2026-04-27T03:39:00Z,0.959,APPROVE,2,sme,3,,63486.09
CASE_0139_20260421,CUST_609907,2026-04-21T03:15:00Z,0.89,APPROVE,3,retail,4,,67945.2
CASE_0140_20260304,CUST_349307,2026-03-04T10:29:00Z,0.952,APPROVE,2,retail,1,,23871.75
CASE_0141_20260306,CUST_420632,2026-03-06T01:41:00Z,0.986,APPROVE,3,retail,4,APPROVE,202447.59
CASE_0142_20260513,CUST_150265,2026-05-13T05:49:00Z,0.737,APPROVE,3,retail,4,,6617.71
CASE_0143_20260315,CUST_241110,2026-03-15T12:36:00Z,0.969,APPROVE,1,retail,3,REJECT,154023.22
CASE_0144_20260423,CUST_499662,2026-04-23T20:00:00Z,0.634,APPROVE,3,sme,1,APPROVE,19853.35
CASE_0145_20260316,CUST_102231,2026-03-16T06:10:00Z,0.734,APPROVE,3,retail,2,EDD_REQUIRED,71476.35
CASE_0146_20260427,CUST_939171,2026-04-27T17:25:00Z,0.807,APPROVE,2,sme,3,,41457.51
CASE_0147_20260420,CUST_208256,2026-04-20T18:16:00Z,0.896,APPROVE,2,private_banking,1,APPROVE,197490.59
CASE_0148_20260425,CUST_566819,2026-04-25T23:10:00Z,0.894,APPROVE,2,private_banking,1,,12364.68
CASE_0149_20260503,CUST_905393,2026-05-03T13:49:00Z,0.853,APPROVE,3,retail,1,APPROVE,209638.99
CASE_0150_20260505,CUST_204110,2026-05-05T10:45:00Z,0.694,APPROVE,5,retail,3,,125917.02
CASE_0151_20260522,CUST_501841,2026-05-22T05:06:00Z,0.537,APPROVE,4,retail,2,APPROVE,153620.14
CASE_0152_20260415,CUST_783836,2026-04-15T21:23:00Z,0.864,APPROVE,3,retail,1,,220986.88
CASE_0153_20260325,CUST_777969,2026-03-25T02:46:00Z,0.966,APPROVE,2,retail,3,,10750.33
CASE_0154_20260328,CUST_448421,2026-03-28T12:01:00Z,0.967,APPROVE,3,retail,2,APPROVE,10755.55
CASE_0155_20260329,CUST_266641,2026-03-29T17:39:00Z,0.946,APPROVE,2,retail,2,APPROVE,169162.76
CASE_0156_20260526,CUST_258510,2026-05-26T04:55:00Z,0.867,APPROVE,4,retail,3,APPROVE,139927.99
CASE_0157_20260517,CUST_683980,2026-05-17T06:41:00Z,0.874,APPROVE,2,retail,2,,184730.32
CASE_0158_20260408,CUST_713954,2026-04-08T08:23:00Z,0.981,APPROVE,2,retail,3,,243383.06
CASE_0159_20260422,CUST_958212,2026-04-22T18:34:00Z,0.829,APPROVE,3,retail,1,,196294.33
CASE_0160_20260314,CUST_352921,2026-03-14T17:15:00Z,0.98,APPROVE,2,sme,1,EDD_REQUIRED,194039.07
CASE_0161_20260430,CUST_647143,2026-04-30T09:48:00Z,0.941,APPROVE,2,retail,3,REJECT,102104.07
CASE_0162_20260520,CUST_216937,2026-05-20T16:15:00Z,0.899,APPROVE,3,sme,4,APPROVE,195169.01
CASE_0163_20260411,CUST_273392,2026-04-11T22:08:00Z,0.986,APPROVE,2,retail,2,,209151.59
CASE_0164_20260325,CUST_589552,2026-03-25T23:01:00Z,0.908,APPROVE,3,private_banking,2,APPROVE,73669.71
CASE_0165_20260317,CUST_709986,2026-03-17T00:04:00Z,0.908,APPROVE,2,sme,3,APPROVE,243658.84
CASE_0166_20260315,CUST_395228,2026-03-15T09:36:00Z,0.953,APPROVE,1,retail,2,APPROVE,111256.67
CASE_0167_20260304,CUST_466651,2026-03-04T12:01:00Z,0.889,APPROVE,3,retail,3,,220532.38
CASE_0168_20260506,CUST_552145,2026-05-06T03:12:00Z,0.935,APPROVE,1,private_banking,4,,132007.31
CASE_0169_20260304,CUST_890188,2026-03-04T15:39:00Z,0.907,APPROVE,1,retail,4,APPROVE,243624.44
CASE_0170_20260427,CUST_934858,2026-04-27T18:45:00Z,0.95,APPROVE,2,retail,3,REJECT,140194.22
CASE_0171_20260319,CUST_126873,2026-03-19T06:22:00Z,0.922,APPROVE,1,retail,1,,209167.96
CASE_0172_20260307,CUST_384367,2026-03-07T20:17:00Z,0.852,APPROVE,3,sme,3,REJECT,112225.74
CASE_0173_20260417,CUST_943386,2026-04-17T05:33:00Z,0.942,APPROVE,1,retail,3,,144992.92
CASE_0174_20260508,CUST_275597,2026-05-08T15:05:00Z,0.931,APPROVE,1,retail,2,,207836.51
CASE_0175_20260425,CUST_870304,2026-04-25T05:02:00Z,0.925,REJECT,1,private_banking,4,REJECT,247094.16
CASE_0176_20260314,CUST_475476,2026-03-14T03:25:00Z,0.925,APPROVE,1,private_banking,1,APPROVE,108211.0
CASE_0177_20260415,CUST_263502,2026-04-15T11:53:00Z,0.951,APPROVE,3,retail,4,,109561.89
CASE_0178_20260328,CUST_755099,2026-03-28T10:19:00Z,0.967,APPROVE,1,retail,2,APPROVE,112233.08
CASE_0179_20260301,CUST_900169,2026-03-01T08:28:00Z,0.773,APPROVE,3,retail,1,APPROVE,188462.29
CASE_0180_20260324,CUST_150530,2026-03-24T08:06:00Z,0.941,APPROVE,2,sme,4,APPROVE,224660.63
CASE_0181_20260303,CUST_877182,2026-03-03T07:23:00Z,0.966,APPROVE,2,sme,3,,97371.65
CASE_0182_20260504,CUST_637454,2026-05-04T21:37:00Z,0.605,APPROVE,4,private_banking,1,EDD_REQUIRED,176662.6
CASE_0183_20260409,CUST_963043,2026-04-09T10:06:00Z,0.884,APPROVE,4,private_banking,4,REJECT,148562.66
CASE_0184_20260301,CUST_491875,2026-03-01T23:51:00Z,0.862,APPROVE,2,retail,3,APPROVE,127745.92
CASE_0185_20260314,CUST_690562,2026-03-14T05:16:00Z,0.988,APPROVE,1,retail,3,APPROVE,235385.88
CASE_0186_20260303,CUST_569771,2026-03-03T09:56:00Z,0.609,APPROVE,5,retail,3,APPROVE,232215.05
CASE_0187_20260514,CUST_463708,2026-05-14T05:32:00Z,0.699,APPROVE,5,retail,2,APPROVE,52394.73
CASE_0188_20260321,CUST_956321,2026-03-21T09:51:00Z,0.938,APPROVE,1,sme,1,APPROVE,76600.13
CASE_0189_20260430,CUST_223434,2026-04-30T02:59:00Z,0.729,APPROVE,2,retail,1,,160550.53
CASE_0190_20260426,CUST_347689,2026-04-26T11:25:00Z,0.643,APPROVE,4,sme,3,,207256.74
CASE_0191_20260328,CUST_183808,2026-03-28T09:20:00Z,0.946,APPROVE,2,sme,3,,90564.41
CASE_0192_20260408,CUST_451801,2026-04-08T16:46:00Z,0.904,APPROVE,1,retail,1,,33892.88
CASE_0193_20260329,CUST_834465,2026-03-29T20:56:00Z,0.892,APPROVE,2,retail,3,APPROVE,129216.24
CASE_0194_20260417,CUST_272927,2026-04-17T06:09:00Z,0.873,APPROVE,3,retail,1,EDD_REQUIRED,83060.29
CASE_0195_20260510,CUST_514434,2026-05-10T00:33:00Z,0.925,APPROVE,2,sme,1,APPROVE,107945.21
CASE_0196_20260328,CUST_280966,2026-03-28T13:02:00Z,0.46,APPROVE,3,retail,2,,129887.98
CASE_0197_20260323,CUST_228680,2026-03-23T23:05:00Z,0.921,APPROVE,1,retail,1,EDD_REQUIRED,200042.75
CASE_0198_20260529,CUST_497638,2026-05-29T13:12:00Z,0.945,APPROVE,1,private_banking,1,,165201.86
CASE_0199_20260311,CUST_122346,2026-03-11T11:26:00Z,0.898,APPROVE,4,retail,4,,52683.9
CASE_0200_20260419,CUST_588632,2026-04-19T17:53:00Z,0.968,APPROVE,2,retail,3,REJECT,26173.56
CASE_0201_20260510,CUST_183491,2026-05-10T22:05:00Z,0.456,APPROVE,5,retail,2,APPROVE,84720.1
CASE_0202_20260308,CUST_116672,2026-03-08T16:37:00Z,0.916,APPROVE,1,retail,4,,116930.56
CASE_0203_20260519,CUST_335619,2026-05-19T01:41:00Z,0.936,APPROVE,3,retail,4,EDD_REQUIRED,52780.39
CASE_0204_20260325,CUST_133730,2026-03-25T20:41:00Z,0.728,APPROVE,3,retail,1,APPROVE,201993.4
CASE_0205_20260505,CUST_624399,2026-05-05T12:27:00Z,0.984,APPROVE,2,retail,1,APPROVE,156068.03
CASE_0206_20260530,CUST_651767,2026-05-30T00:00:00Z,0.953,EDD_REQUIRED,3,retail,1,,8238.67
CASE_0207_20260313,CUST_430735,2026-03-13T14:51:00Z,0.905,APPROVE,2,retail,1,APPROVE,136566.48
CASE_0208_20260309,CUST_849961,2026-03-09T17:42:00Z,0.659,APPROVE,4,retail,2,,198894.7
CASE_0209_20260526,CUST_411438,2026-05-26T20:33:00Z,0.86,APPROVE,4,private_banking,1,,166364.61
CASE_0210_20260520,CUST_234801,2026-05-20T09:10:00Z,0.675,APPROVE,5,retail,4,APPROVE,201347.23
CASE_0211_20260319,CUST_787552,2026-03-19T09:54:00Z,0.571,APPROVE,3,retail,2,APPROVE,222301.58
CASE_0212_20260510,CUST_636592,2026-05-10T18:34:00Z,0.981,APPROVE,1,retail,4,,161525.96
CASE_0213_20260318,CUST_309430,2026-03-18T07:58:00Z,0.742,APPROVE,3,private_banking,4,,28705.11
CASE_0214_20260507,CUST_414407,2026-05-07T03:11:00Z,0.925,APPROVE,1,retail,4,APPROVE,222430.6
CASE_0215_20260502,CUST_606929,2026-05-02T18:32:00Z,0.947,APPROVE,1,private_banking,2,,175257.27
CASE_0216_20260429,CUST_262454,2026-04-29T09:39:00Z,0.894,APPROVE,4,private_banking,3,,210864.34
CASE_0217_20260309,CUST_902725,2026-03-09T18:06:00Z,0.927,APPROVE,1,retail,3,APPROVE,21863.55
CASE_0218_20260501,CUST_327804,2026-05-01T01:14:00Z,0.916,EDD_REQUIRED,2,retail,3,,179440.29
CASE_0219_20260310,CUST_995755,2026-03-10T00:19:00Z,0.58,APPROVE,4,retail,2,,104610.78
CASE_0220_20260418,CUST_931933,2026-04-18T23:19:00Z,0.976,APPROVE,3,private_banking,3,,243494.24
CASE_0221_20260428,CUST_890744,2026-04-28T21:35:00Z,0.424,APPROVE,5,retail,3,,107218.5
CASE_0222_20260509,CUST_141190,2026-05-09T03:43:00Z,0.978,APPROVE,2,retail,1,EDD_REQUIRED,134735.59
CASE_0223_20260302,CUST_563262,2026-03-02T06:34:00Z,0.977,APPROVE,2,retail,1,,191414.54
CASE_0224_20260402,CUST_865121,2026-04-02T17:07:00Z,0.912,APPROVE,1,retail,1,,96635.28
CASE_0225_20260522,CUST_623304,2026-05-22T03:44:00Z,0.966,APPROVE,2,retail,1,,174361.64
CASE_0226_20260424,CUST_748427,2026-04-24T19:31:00Z,0.492,APPROVE,4,retail,3,,169281.6
CASE_0227_20260412,CUST_719269,2026-04-12T23:37:00Z,0.934,APPROVE,3,sme,2,,35214.91
CASE_0228_20260402,CUST_754960,2026-04-02T04:59:00Z,0.889,APPROVE,2,retail,4,APPROVE,231277.94
CASE_0229_20260519,CUST_401707,2026-05-19T13:15:00Z,0.88,APPROVE,2,retail,1,APPROVE,174622.25
CASE_0230_20260402,CUST_424826,2026-04-02T09:07:00Z,0.646,REJECT,4,retail,3,,101686.37
CASE_0231_20260519,CUST_493317,2026-05-19T08:25:00Z,0.857,APPROVE,3,retail,2,,58480.44
