run_id,agent_id,started_at,ended_at,status,total_tool_calls,total_cost_usd,blast_radius,duration_s,customer_id_hash
RUN_00046,kyc_refresh_v2,2026-04-01T04:53:24Z,2026-04-01T04:54:50Z,COMPLETED,3,0.4003,3,86,CUST_547901
RUN_00047,claims_triage_v3,2026-04-05T16:12:37Z,2026-04-05T16:14:57Z,COMPLETED,7,1.0468,7,140,CUST_104053
RUN_00048,loan_pkg_v4,2026-04-27T12:06:49Z,2026-04-27T12:08:14Z,COMPLETED,7,1.5959,7,85,CUST_678109
RUN_00049,kyc_refresh_v2,2026-04-12T02:34:31Z,2026-04-12T02:34:41Z,COMPLETED,7,0.4834,7,10,CUST_639921
RUN_00050,loan_pkg_v4,2026-04-10T08:33:16Z,2026-04-10T08:34:42Z,COMPLETED,8,1.2364,8,86,CUST_557614
RUN_00051,loan_pkg_v4,2026-04-16T05:35:45Z,2026-04-16T05:36:31Z,COMPLETED,9,2.1673,9,46,CUST_448436
RUN_00052,loan_pkg_v4,2026-04-19T06:12:22Z,2026-04-19T06:12:45Z,COMPLETED,8,1.4287,8,23,CUST_199998
RUN_00053,kyc_refresh_v2,2026-04-26T19:44:30Z,2026-04-26T19:44:40Z,COMPLETED,4,0.573,4,10,CUST_911480
RUN_00054,dispute_recon_v1,2026-04-01T06:40:03Z,2026-04-01T06:40:52Z,COMPLETED,7,0.4572,7,49,CUST_804015
RUN_00055,loan_pkg_v4,2026-04-12T07:51:41Z,2026-04-12T07:52:02Z,COMPLETED,11,2.2655,11,21,CUST_349808
RUN_00056,claims_triage_v3,2026-04-10T05:51:16Z,2026-04-10T05:53:36Z,COMPLETED,5,0.586,5,140,CUST_797709
RUN_00057,loan_pkg_v4,2026-04-07T20:55:52Z,2026-04-07T20:56:15Z,COMPLETED,7,1.0101,7,23,CUST_849815
RUN_00058,dispute_recon_v1,2026-04-15T21:53:41Z,2026-04-15T21:55:06Z,COMPLETED,3,0.3202,3,85,CUST_456209
RUN_00059,dispute_recon_v1,2026-04-24T12:35:58Z,2026-04-24T12:36:45Z,COMPLETED,5,0.4436,5,47,CUST_825502
RUN_00060,claims_triage_v3,2026-04-21T04:55:01Z,2026-04-21T05:10:18Z,FAILED_RETRYABLE,8,1.2465,8,917,CUST_739511
RUN_00061,dispute_recon_v1,2026-04-24T01:11:12Z,2026-04-24T01:11:36Z,COMPLETED,5,0.3285,5,24,CUST_775025
RUN_00062,kyc_refresh_v2,2026-04-18T09:12:58Z,2026-04-18T09:13:42Z,COMPLETED,5,0.6993,5,44,CUST_749889
RUN_00063,claims_triage_v3,2026-04-02T01:20:07Z,2026-04-02T01:20:51Z,COMPLETED,3,0.2818,3,44,CUST_872535
RUN_00064,claims_triage_v3,2026-04-12T05:05:19Z,2026-04-12T05:05:41Z,COMPLETED,8,0.9189,8,22,CUST_803047
RUN_00065,claims_triage_v3,2026-04-22T07:53:57Z,2026-04-22T07:54:04Z,COMPLETED,1,0.1359,1,7,CUST_450437
RUN_00066,dispute_recon_v1,2026-04-28T13:14:59Z,2026-04-28T13:15:09Z,COMPLETED,6,0.616,6,10,CUST_369800
RUN_00067,loan_pkg_v4,2026-04-16T21:45:49Z,2026-04-16T21:47:17Z,COMPLETED,8,1.7786,8,88,CUST_254411
RUN_00068,claims_triage_v3,2026-04-27T13:43:01Z,2026-04-27T13:43:24Z,COMPLETED,5,0.4307,5,23,CUST_772800
RUN_00069,claims_triage_v3,2026-04-28T14:47:54Z,2026-04-28T14:48:15Z,COMPLETED,7,0.6274,7,21,CUST_650425
RUN_00070,kyc_refresh_v2,2026-04-17T16:26:11Z,2026-04-17T16:26:21Z,COMPLETED,4,0.4692,4,10,CUST_433759
RUN_00071,dispute_recon_v1,2026-04-02T16:55:12Z,2026-04-02T16:56:41Z,COMPLETED,4,0.3078,4,89,CUST_361480
RUN_00072,kyc_refresh_v2,2026-04-01T04:53:22Z,2026-04-01T04:54:10Z,COMPLETED,5,0.676,5,48,CUST_502433
RUN_00073,kyc_refresh_v2,2026-04-21T14:18:25Z,2026-04-21T14:19:54Z,COMPLETED,3,0.4315,3,89,CUST_922942
RUN_00074,claims_triage_v3,2026-04-29T19:45:53Z,2026-04-29T19:46:17Z,COMPLETED,9,1.6146,9,24,CUST_251490
RUN_00075,dispute_recon_v1,2026-04-08T15:12:10Z,2026-04-08T15:12:58Z,COMPLETED,3,0.3739,3,48,CUST_114143
RUN_00076,kyc_refresh_v2,2026-04-30T15:03:20Z,2026-04-30T15:03:42Z,FAILED_RETRYABLE,4,0.3059,4,22,CUST_899029
RUN_00077,loan_pkg_v4,2026-04-25T04:20:23Z,2026-04-25T04:22:47Z,COMPLETED,9,2.5237,9,144,CUST_585713
RUN_00078,kyc_refresh_v2,2026-04-16T01:09:43Z,2026-04-16T01:10:32Z,COMPLETED,2,0.286,2,49,CUST_386626
RUN_00079,claims_triage_v3,2026-04-04T14:52:05Z,2026-04-04T14:52:28Z,COMPLETED,4,0.411,4,23,CUST_385670
RUN_00080,kyc_refresh_v2,2026-04-15T14:47:43Z,2026-04-15T14:48:29Z,COMPLETED,6,0.729,6,46,CUST_610204
RUN_00081,kyc_refresh_v2,2026-04-10T10:38:44Z,2026-04-10T10:39:30Z,COMPLETED,7,0.4996,7,46,CUST_368016
RUN_00082,dispute_recon_v1,2026-04-08T17:07:39Z,2026-04-08T17:07:46Z,COMPLETED,6,0.6663,6,7,CUST_968293
RUN_00083,claims_triage_v3,2026-04-06T22:13:09Z,2026-04-06T22:13:57Z,COMPLETED,6,0.6655,6,48,CUST_644741
RUN_00084,kyc_refresh_v2,2026-04-26T15:36:55Z,2026-04-26T15:39:17Z,COMPLETED,5,0.5173,5,142,CUST_366244
RUN_00085,kyc_refresh_v2,2026-04-04T02:58:23Z,2026-04-04T02:58:43Z,COMPLETED,7,0.7759,7,20,CUST_472104
RUN_00086,claims_triage_v3,2026-04-21T14:34:27Z,2026-04-21T14:35:15Z,BOUNDED_BY_AGENTWATCH,6458,15500.0,6458,350,CUST_545954
RUN_00087,claims_triage_v3,2026-04-30T21:36:16Z,2026-04-30T21:37:41Z,COMPLETED,7,0.8428,7,85,CUST_235698
RUN_00088,kyc_refresh_v2,2026-04-11T13:15:34Z,2026-04-11T13:16:20Z,FAILED_RETRYABLE,10,80,10,350,CUST_525970
RUN_00089,claims_triage_v3,2026-04-30T20:06:57Z,2026-04-30T20:07:19Z,COMPLETED,3,0.2854,3,22,CUST_472148
RUN_00090,claims_triage_v3,2026-04-13T04:00:14Z,2026-04-13T04:01:42Z,FAILED_RETRYABLE,9,1.08,9,350,CUST_117112
RUN_00091,kyc_refresh_v2,2026-04-20T17:01:22Z,2026-04-20T17:02:11Z,TIMEOUT,9,0.9658,9,49,CUST_976596
RUN_00092,kyc_refresh_v2,2026-04-03T15:07:42Z,2026-04-03T15:07:49Z,COMPLETED,2,0.1735,2,7,CUST_149494
RUN_00093,kyc_refresh_v2,2026-04-07T11:14:17Z,2026-04-07T11:15:01Z,COMPLETED,4,0.2572,4,44,CUST_913374
RUN_00094,dispute_recon_v1,2026-04-05T11:19:32Z,2026-04-05T11:20:21Z,COMPLETED,3,0.1683,3,49,CUST_763736
RUN_00095,claims_triage_v3,2026-04-14T03:12:08Z,2026-04-14T04:33:08Z,BOUNDED_BY_AGENTWATCH,1847,4218.34,1847,4860,CUST_447219
RUN_00096,claims_triage_v3,2026-04-10T19:10:37Z,2026-04-10T19:11:26Z,COMPLETED,7,1.197,7,49,CUST_702397
RUN_00097,dispute_recon_v1,2026-04-07T17:59:18Z,2026-04-07T18:00:02Z,COMPLETED,3,0.1842,3,44,CUST_520608
RUN_00098,kyc_refresh_v2,2026-04-13T20:53:44Z,2026-04-13T20:54:08Z,COMPLETED,5,0.3895,5,24,CUST_519719
RUN_00099,kyc_refresh_v2,2026-04-04T06:06:44Z,2026-04-04T06:07:04Z,COMPLETED,5,0.4797,5,20,CUST_824628
RUN_00100,loan_pkg_v4,2026-04-24T13:17:29Z,2026-04-24T13:17:53Z,COMPLETED,4,1.0048,4,24,CUST_521242
RUN_00101,dispute_recon_v1,2026-04-02T22:52:47Z,2026-04-02T23:08:07Z,COMPLETED,3,0.2435,3,920,CUST_587167
RUN_00102,kyc_refresh_v2,2026-04-03T15:00:05Z,2026-04-03T15:01:35Z,COMPLETED,4,0.558,4,90,CUST_661634
RUN_00103,kyc_refresh_v2,2026-04-03T01:36:56Z,2026-04-03T01:38:22Z,COMPLETED,1,0.0878,1,86,CUST_282075
RUN_00104,kyc_refresh_v2,2026-04-13T09:33:04Z,2026-04-13T09:33:50Z,COMPLETED,3,0.3926,3,46,CUST_221788
RUN_00105,claims_triage_v3,2026-04-19T06:54:11Z,2026-04-19T06:54:21Z,COMPLETED,3,0.4613,3,10,CUST_705285
RUN_00106,dispute_recon_v1,2026-04-15T18:54:56Z,2026-04-15T18:56:24Z,COMPLETED,8,0.9758,8,88,CUST_533480
RUN_00107,kyc_refresh_v2,2026-04-28T12:59:47Z,2026-04-28T13:00:32Z,COMPLETED,6,0.7513,6,45,CUST_424859
RUN_00108,claims_triage_v3,2026-04-12T08:19:59Z,2026-04-12T08:21:28Z,FAILED_RETRYABLE,9,1.08,9,350,CUST_406295
RUN_00109,loan_pkg_v4,2026-04-23T08:16:20Z,2026-04-23T08:17:05Z,COMPLETED,12,2.472,12,45,CUST_169263
RUN_00110,dispute_recon_v1,2026-04-09T00:48:20Z,2026-04-09T00:49:09Z,COMPLETED,3,0.3296,3,49,CUST_249606
RUN_00111,claims_triage_v3,2026-04-21T01:34:41Z,2026-04-21T01:50:02Z,COMPLETED,7,1.2467,7,921,CUST_775596
RUN_00112,loan_pkg_v4,2026-04-19T11:41:20Z,2026-04-19T11:42:04Z,COMPLETED,10,1.897,10,44,CUST_667319
RUN_00113,kyc_refresh_v2,2026-04-08T20:53:52Z,2026-04-08T20:55:21Z,COMPLETED,6,0.5574,6,89,CUST_967972
RUN_00114,claims_triage_v3,2026-04-05T15:38:11Z,2026-04-05T15:38:55Z,COMPLETED,7,1.0745,7,44,CUST_787624
RUN_00115,claims_triage_v3,2026-04-08T18:58:50Z,2026-04-08T18:59:09Z,COMPLETED,9,1.6112,9,19,CUST_917275
RUN_00116,claims_triage_v3,2026-04-05T08:59:24Z,2026-04-05T08:59:30Z,COMPLETED,6,0.7339,6,6,CUST_968358
RUN_00117,claims_triage_v3,2026-04-24T11:36:57Z,2026-04-24T11:37:02Z,COMPLETED,5,0.7936,5,5,CUST_926176
RUN_00118,kyc_refresh_v2,2026-04-28T23:46:44Z,2026-04-28T23:47:05Z,COMPLETED,7,0.8768,7,21,CUST_230841
RUN_00119,dispute_recon_v1,2026-04-23T09:59:54Z,2026-04-23T10:00:02Z,COMPLETED,2,0.1748,2,8,CUST_984177
RUN_00120,claims_triage_v3,2026-04-07T21:06:30Z,2026-04-07T21:07:14Z,COMPLETED,7,0.7702,7,44,CUST_444965
RUN_00121,claims_triage_v3,2026-04-02T15:37:41Z,2026-04-02T15:38:28Z,COMPLETED,5,0.7705,5,47,CUST_423672
RUN_00122,dispute_recon_v1,2026-04-19T22:55:15Z,2026-04-19T22:55:38Z,COMPLETED,2,0.2508,2,23,CUST_203593
RUN_00123,loan_pkg_v4,2026-04-22T04:44:25Z,2026-04-22T04:44:49Z,COMPLETED,11,2.8693,11,24,CUST_423587
RUN_00124,kyc_refresh_v2,2026-04-22T02:27:56Z,2026-04-22T02:28:40Z,COMPLETED,1,0.0719,1,44,CUST_942933
RUN_00125,claims_triage_v3,2026-04-07T23:54:44Z,2026-04-07T23:55:33Z,COMPLETED,8,1.2847,8,49,CUST_568564
RUN_00126,kyc_refresh_v2,2026-04-06T23:27:30Z,2026-04-06T23:28:17Z,COMPLETED,1,0.085,1,47,CUST_568087
RUN_00127,dispute_recon_v1,2026-04-29T15:26:18Z,2026-04-29T15:26:40Z,COMPLETED,6,0.4173,6,22,CUST_501134
RUN_00128,dispute_recon_v1,2026-04-16T17:55:43Z,2026-04-16T17:57:12Z,COMPLETED,4,0.4706,4,89,CUST_597454
RUN_00129,kyc_refresh_v2,2026-04-07T04:34:48Z,2026-04-07T04:35:07Z,COMPLETED,1,0.1169,1,19,CUST_351804
RUN_00130,dispute_recon_v1,2026-04-30T17:51:49Z,2026-04-30T17:51:56Z,COMPLETED,11,1.21,11,350,CUST_849862
RUN_00131,claims_triage_v3,2026-04-07T08:32:49Z,2026-04-07T08:33:33Z,COMPLETED,10,1.0009,10,44,CUST_823014
RUN_00132,dispute_recon_v1,2026-04-05T05:29:17Z,2026-04-05T05:30:05Z,COMPLETED,6,0.4164,6,48,CUST_470216
RUN_00133,claims_triage_v3,2026-04-18T11:24:25Z,2026-04-18T11:24:49Z,COMPLETED,8,0.732,8,24,CUST_715272
RUN_00134,claims_triage_v3,2026-04-11T06:10:19Z,2026-04-11T06:10:24Z,COMPLETED,5,0.8308,5,5,CUST_761137
RUN_00135,loan_pkg_v4,2026-04-24T11:32:02Z,2026-04-24T11:32:26Z,COMPLETED,7,1.6532,7,24,CUST_223793
RUN_00136,loan_pkg_v4,2026-04-17T06:21:42Z,2026-04-17T06:21:47Z,COMPLETED,11,2.3984,11,5,CUST_606925
RUN_00137,dispute_recon_v1,2026-04-05T13:32:51Z,2026-04-05T13:33:14Z,COMPLETED,4,0.3774,4,23,CUST_510178
RUN_00138,dispute_recon_v1,2026-04-06T23:11:15Z,2026-04-06T23:12:41Z,COMPLETED,3,0.2474,3,86,CUST_618509
RUN_00139,kyc_refresh_v2,2026-04-03T11:53:06Z,2026-04-03T11:53:27Z,COMPLETED,6,0.6366,6,21,CUST_657630
RUN_00140,claims_triage_v3,2026-04-04T13:34:03Z,2026-04-04T13:34:51Z,COMPLETED,7,1.1423,7,48,CUST_436356
RUN_00141,claims_triage_v3,2026-04-20T11:13:29Z,2026-04-20T11:13:51Z,COMPLETED,4,0.6093,4,22,CUST_133072
RUN_00142,kyc_refresh_v2,2026-04-07T07:40:49Z,2026-04-07T07:41:09Z,COMPLETED,3,0.3537,3,20,CUST_232364
RUN_00143,dispute_recon_v1,2026-04-06T13:46:30Z,2026-04-06T13:47:14Z,COMPLETED,4,0.349,4,44,CUST_535444
RUN_00144,loan_pkg_v4,2026-04-28T18:50:55Z,2026-04-28T18:53:17Z,COMPLETED,10,1.2944,10,142,CUST_333348
RUN_00145,claims_triage_v3,2026-04-22T21:46:41Z,2026-04-22T21:47:27Z,COMPLETED,1,0.1616,1,46,CUST_217411
RUN_00146,kyc_refresh_v2,2026-04-07T12:35:34Z,2026-04-07T12:35:58Z,COMPLETED,8,0.9322,8,24,CUST_204150
RUN_00147,dispute_recon_v1,2026-04-14T16:22:52Z,2026-04-14T16:23:36Z,COMPLETED,4,0.4049,4,44,CUST_627247
RUN_00148,claims_triage_v3,2026-04-09T17:15:37Z,2026-04-09T17:16:21Z,COMPLETED,6,0.6516,6,44,CUST_346421
RUN_00149,kyc_refresh_v2,2026-04-25T19:56:33Z,2026-04-25T19:57:22Z,COMPLETED,6,0.6256,6,49,CUST_384574
RUN_00150,claims_triage_v3,2026-04-23T19:07:12Z,2026-04-23T19:07:33Z,COMPLETED,7,1.3014,7,21,CUST_360151
RUN_00151,kyc_refresh_v2,2026-04-20T01:55:37Z,2026-04-20T01:55:45Z,COMPLETED,4,0.3515,4,8,CUST_152971
RUN_00152,claims_triage_v3,2026-04-04T09:05:32Z,2026-04-04T09:05:56Z,COMPLETED,6,0.7133,6,24,CUST_429659
RUN_00153,dispute_recon_v1,2026-04-10T07:38:52Z,2026-04-10T07:40:18Z,COMPLETED,5,0.4639,5,86,CUST_952613
RUN_00154,loan_pkg_v4,2026-04-03T03:23:00Z,2026-04-03T03:23:23Z,COMPLETED,9,1.7557,9,23,CUST_430233
RUN_00155,kyc_refresh_v2,2026-04-13T20:28:00Z,2026-04-13T20:29:30Z,COMPLETED,2,0.1383,2,90,CUST_298233
RUN_00156,claims_triage_v3,2026-04-18T15:01:18Z,2026-04-18T15:02:03Z,COMPLETED,6,0.8926,6,45,CUST_634329
RUN_00157,loan_pkg_v4,2026-04-01T13:48:57Z,2026-04-01T13:49:02Z,COMPLETED,7,1.9655,7,5,CUST_762846
RUN_00158,claims_triage_v3,2026-04-13T00:42:21Z,2026-04-13T00:43:46Z,COMPLETED,6,0.9812,6,85,CUST_350465
RUN_00159,claims_triage_v3,2026-04-08T19:45:12Z,2026-04-08T19:45:31Z,COMPLETED,6,1.0747,6,19,CUST_606658
RUN_00160,loan_pkg_v4,2026-04-19T05:46:20Z,2026-04-19T06:01:39Z,COMPLETED,8,1.1155,8,919,CUST_401880
RUN_00161,kyc_refresh_v2,2026-04-07T17:49:04Z,2026-04-07T17:49:10Z,COMPLETED,5,0.6362,5,6,CUST_201684
RUN_00162,kyc_refresh_v2,2026-04-15T21:52:43Z,2026-04-15T21:53:05Z,FAILED_RETRYABLE,10,75,10,350,CUST_618434
RUN_00163,kyc_refresh_v2,2026-04-14T00:13:46Z,2026-04-14T00:15:13Z,COMPLETED,9,1.0283,9,87,CUST_801854
RUN_00164,claims_triage_v3,2026-04-13T08:00:34Z,2026-04-13T08:02:01Z,BOUNDED_BY_AGENTWATCH,60,85.0,60,280,CUST_845860
RUN_00165,dispute_recon_v1,2026-04-29T08:22:57Z,2026-04-29T08:23:06Z,COMPLETED,7,0.706,7,9,CUST_513375
RUN_00166,claims_triage_v3,2026-04-20T09:57:51Z,2026-04-20T09:58:14Z,COMPLETED,7,1.1275,7,23,CUST_789041
RUN_00167,loan_pkg_v4,2026-04-10T20:27:45Z,2026-04-10T20:28:33Z,COMPLETED,5,0.8705,5,48,CUST_213294
RUN_00168,claims_triage_v3,2026-04-08T20:24:56Z,2026-04-08T20:26:26Z,COMPLETED,4,0.6626,4,90,CUST_612638
RUN_00169,loan_pkg_v4,2026-04-01T05:38:51Z,2026-04-01T05:39:00Z,FAILED_RETRYABLE,10,1.7224,10,9,CUST_107254
RUN_00170,loan_pkg_v4,2026-04-25T21:26:25Z,2026-04-25T21:27:14Z,COMPLETED,9,1.2988,9,49,CUST_810279
RUN_00171,loan_pkg_v4,2026-04-06T19:17:44Z,2026-04-06T19:18:31Z,COMPLETED,8,1.728,8,47,CUST_157961
RUN_00172,kyc_refresh_v2,2026-04-15T15:16:39Z,2026-04-15T15:17:28Z,FAILED_RETRYABLE,75,1500,75,350,CUST_259163
RUN_00173,dispute_recon_v1,2026-04-11T13:52:05Z,2026-04-11T13:52:15Z,COMPLETED,5,0.3593,5,10,CUST_579915
RUN_00174,claims_triage_v3,2026-04-28T11:46:46Z,2026-04-28T11:46:55Z,COMPLETED,4,0.6422,4,9,CUST_865823
RUN_00175,dispute_recon_v1,2026-04-08T18:47:20Z,2026-04-08T18:48:49Z,COMPLETED,12,1.32,12,350,CUST_610042
RUN_00176,kyc_refresh_v2,2026-04-30T21:50:54Z,2026-04-30T21:51:13Z,COMPLETED,8,0.5691,8,19,CUST_989939
RUN_00177,claims_triage_v3,2026-04-04T11:01:53Z,2026-04-04T11:03:20Z,COMPLETED,3,0.3142,3,87,CUST_476976
RUN_00178,kyc_refresh_v2,2026-04-26T16:05:45Z,2026-04-26T16:06:06Z,COMPLETED,4,0.5526,4,21,CUST_175441
RUN_00179,loan_pkg_v4,2026-04-22T17:25:59Z,2026-04-22T17:26:44Z,COMPLETED,13,2.4522,13,45,CUST_300104
RUN_00180,loan_pkg_v4,2026-04-22T14:32:14Z,2026-04-22T14:33:41Z,COMPLETED,6,0.9476,6,87,CUST_849903
RUN_00181,dispute_recon_v1,2026-04-30T03:05:33Z,2026-04-30T03:05:56Z,COMPLETED,5,0.4291,5,23,CUST_243546
RUN_00182,kyc_refresh_v2,2026-04-17T14:51:51Z,2026-04-17T14:52:15Z,COMPLETED,5,0.6399,5,24,CUST_671512
RUN_00183,claims_triage_v3,2026-04-27T21:07:14Z,2026-04-27T21:07:36Z,COMPLETED,7,0.8523,7,22,CUST_940589
RUN_00184,loan_pkg_v4,2026-04-27T22:41:59Z,2026-04-27T22:44:21Z,COMPLETED,9,1.7473,9,142,CUST_234478
RUN_00185,dispute_recon_v1,2026-04-17T10:01:45Z,2026-04-17T10:02:32Z,COMPLETED,1,0.1161,1,47,CUST_413737
RUN_00186,dispute_recon_v1,2026-04-06T05:07:10Z,2026-04-06T05:07:59Z,COMPLETED,2,0.2553,2,49,CUST_224626
RUN_00187,kyc_refresh_v2,2026-04-24T04:52:22Z,2026-04-24T04:52:31Z,COMPLETED,4,0.4195,4,9,CUST_772489
RUN_00188,claims_triage_v3,2026-04-30T10:22:07Z,2026-04-30T10:22:31Z,COMPLETED,5,0.9299,5,24,CUST_838674
RUN_00189,loan_pkg_v4,2026-04-18T20:54:34Z,2026-04-18T20:54:41Z,COMPLETED,10,1.2865,10,7,CUST_600195
RUN_00190,loan_pkg_v4,2026-04-12T13:34:08Z,2026-04-12T13:34:30Z,COMPLETED,11,1.4184,11,22,CUST_118605
RUN_00191,loan_pkg_v4,2026-04-06T19:21:18Z,2026-04-06T19:22:04Z,COMPLETED,9,1.6181,9,46,CUST_965398
