call_id,run_id,agent_id,step_index,tool_name,args_json,called_at,latency_ms,status,cost_usd
TC_000017,RUN_00003,loan_pkg_v4,6,appraisal_request,"{""customer_id"":""CUST_272999""}",2026-04-07T19:56:44Z,45,OK,0.0129
TC_000018,RUN_00004,dispute_recon_v1,0,ledger_lookup,"{""customer_id"":""CUST_567106""}",2026-04-14T01:10:37Z,45,OK,0.0288
TC_000019,RUN_00004,dispute_recon_v1,1,case_create,"{""customer_id"":""CUST_567106""}",2026-04-14T01:11:05Z,45,OK,0.004
TC_000020,RUN_00004,dispute_recon_v1,2,case_create,"{""customer_id"":""CUST_567106""}",2026-04-14T01:11:33Z,45,OK,0.0082
TC_000021,RUN_00005,claims_triage_v3,0,customer_match,"{""customer_id"":""CUST_748767""}",2026-04-14T10:46:11Z,45,OK,0.0344
TC_000022,RUN_00006,loan_pkg_v4,0,credit_pull,"{""customer_id"":""CUST_158816""}",2026-04-18T21:20:06Z,180,OK,0.0149
TC_000023,RUN_00006,loan_pkg_v4,1,title_check,"{""customer_id"":""CUST_158816""}",2026-04-18T21:20:07Z,180,OK,0.0353
TC_000024,RUN_00006,loan_pkg_v4,2,rate_lock,"{""customer_id"":""CUST_158816""}",2026-04-18T21:20:08Z,45,OK,0.0045
TC_000025,RUN_00006,loan_pkg_v4,3,app_lookup,"{""customer_id"":""CUST_158816""}",2026-04-18T21:20:09Z,90,OK,0.0038
TC_000026,RUN_00006,loan_pkg_v4,4,approval_route,"{""customer_id"":""CUST_158816""}",2026-04-18T21:20:10Z,90,OK,0.0325
TC_000027,RUN_00006,loan_pkg_v4,5,doc_assemble,"{""customer_id"":""CUST_158816""}",2026-04-18T21:20:11Z,90,OK,0.0369
TC_000028,RUN_00007,claims_triage_v3,0,doc_extract,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:21Z,90,OK,0.0348
TC_000029,RUN_00007,claims_triage_v3,1,comm_draft,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:26Z,45,OK,0.0235
TC_000030,RUN_00007,claims_triage_v3,2,ticket_create,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:32Z,90,OK,0.0384
TC_000031,RUN_00007,claims_triage_v3,3,fraud_score,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:37Z,45,OK,0.0172
TC_000032,RUN_00007,claims_triage_v3,4,adjudication_calc,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:43Z,380,OK,0.0277
TC_000033,RUN_00007,claims_triage_v3,5,doc_extract,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:49Z,45,OK,0.0134
TC_000034,RUN_00007,claims_triage_v3,6,doc_extract,"{""customer_id"":""CUST_494344""}",2026-04-19T13:48:54Z,90,OK,0.0135
TC_000035,RUN_00007,claims_triage_v3,7,fraud_score,"{""customer_id"":""CUST_494344""}",2026-04-19T13:49:00Z,90,OK,0.0393
TC_000036,RUN_00008,claims_triage_v3,0,adjudication_calc,"{""customer_id"":""CUST_258063""}",2026-04-30T12:41:56Z,45,OK,0.0358
TC_000037,RUN_00008,claims_triage_v3,1,siu_check,"{""customer_id"":""CUST_258063""}",2026-04-30T12:42:25Z,90,OK,0.0119
TC_000038,RUN_00008,claims_triage_v3,2,claim_lookup,"{""customer_id"":""CUST_258063""}",2026-04-30T12:42:55Z,45,OK,0.0393
TC_000039,RUN_00009,claims_triage_v3,0,ticket_create,"{""customer_id"":""CUST_284623""}",2026-04-28T17:12:38Z,45,OK,0.0241
TC_000040,RUN_00009,claims_triage_v3,1,ticket_create,"{""customer_id"":""CUST_284623""}",2026-04-28T17:12:44Z,1850,OK,0.0184
TC_000041,RUN_00009,claims_triage_v3,2,adjudication_calc,"{""customer_id"":""CUST_284623""}",2026-04-28T17:12:50Z,90,OK,0.0396
TC_000042,RUN_00010,loan_pkg_v4,0,doc_assemble,"{""customer_id"":""CUST_804752""}",2026-04-24T05:38:20Z,90,OK,0.0293
TC_000043,RUN_00010,loan_pkg_v4,1,rate_lock,"{""customer_id"":""CUST_804752""}",2026-04-24T05:38:28Z,90,OK,0.0046
TC_000044,RUN_00010,loan_pkg_v4,2,compliance_scan,"{""customer_id"":""CUST_804752""}",2026-04-24T05:38:37Z,45,OK,0.013
TC_000045,RUN_00010,loan_pkg_v4,3,app_lookup,"{""customer_id"":""CUST_804752""}",2026-04-24T05:38:46Z,180,OK,0.0238
TC_000046,RUN_00010,loan_pkg_v4,4,income_verify,"{""customer_id"":""CUST_804752""}",2026-04-24T05:38:55Z,380,OK,0.0217
TC_000047,RUN_00010,loan_pkg_v4,5,title_check,"{""customer_id"":""CUST_804752""}",2026-04-24T05:39:04Z,90,OK,0.0222
TC_000048,RUN_00010,loan_pkg_v4,6,credit_pull,"{""customer_id"":""CUST_804752""}",2026-04-24T05:39:13Z,180,OK,0.04
TC_000049,RUN_00010,loan_pkg_v4,7,approval_route,"{""customer_id"":""CUST_804752""}",2026-04-24T05:39:22Z,180,OK,0.0357
TC_000050,RUN_00011,claims_triage_v3,0,fraud_score,"{""customer_id"":""CUST_859172""}",2026-04-13T12:29:17Z,90,OK,0.0042
TC_000051,RUN_00011,claims_triage_v3,1,policy_lookup,"{""customer_id"":""CUST_859172""}",2026-04-13T12:29:18Z,90,OK,0.0136
TC_000052,RUN_00011,claims_triage_v3,2,policy_lookup,"{""customer_id"":""CUST_859172""}",2026-04-13T12:29:20Z,380,OK,0.0338
TC_000053,RUN_00011,claims_triage_v3,3,customer_match,"{""customer_id"":""CUST_859172""}",2026-04-13T12:29:22Z,45,OK,0.0377
TC_000054,RUN_00011,claims_triage_v3,4,fraud_score,"{""customer_id"":""CUST_859172""}",2026-04-13T12:29:23Z,90,OK,0.0126
TC_000055,RUN_00011,claims_triage_v3,5,claim_lookup,"{""customer_id"":""CUST_859172""}",2026-04-13T12:29:25Z,45,OK,0.0358
TC_000056,RUN_00012,claims_triage_v3,0,adjudication_calc,"{""customer_id"":""CUST_453934""}",2026-04-08T11:51:12Z,45,OK,0.0344
TC_000057,RUN_00012,claims_triage_v3,1,siu_check,"{""customer_id"":""CUST_453934""}",2026-04-08T11:51:13Z,90,OK,0.0024
TC_000058,RUN_00012,claims_triage_v3,2,doc_extract,"{""customer_id"":""CUST_453934""}",2026-04-08T11:51:14Z,90,OK,0.0052
TC_000059,RUN_00012,claims_triage_v3,3,comm_draft,"{""customer_id"":""CUST_453934""}",2026-04-08T11:51:15Z,720,OK,0.027
TC_000060,RUN_00013,kyc_refresh_v2,0,edd_request,"{""customer_id"":""CUST_341992""}",2026-04-22T23:13:59Z,380,OK,0.032
TC_000061,RUN_00014,claims_triage_v3,0,adjudication_calc,"{""customer_id"":""CUST_615795""}",2026-04-19T23:06:35Z,180,OK,0.0165
TC_000062,RUN_00014,claims_triage_v3,1,ticket_create,"{""customer_id"":""CUST_615795""}",2026-04-19T23:06:37Z,45,OK,0.0373
TC_000063,RUN_00014,claims_triage_v3,2,comm_draft,"{""customer_id"":""CUST_615795""}",2026-04-19T23:06:39Z,45,OK,0.0326
TC_000064,RUN_00015,claims_triage_v3,0,adjudication_calc,"{""customer_id"":""CUST_693828""}",2026-04-23T04:31:26Z,45,OK,0.03
TC_000065,RUN_00015,claims_triage_v3,1,ticket_create,"{""customer_id"":""CUST_693828""}",2026-04-23T04:31:43Z,45,OK,0.0307
TC_000066,RUN_00015,claims_triage_v3,2,siu_check,"{""customer_id"":""CUST_693828""}",2026-04-23T04:32:00Z,180,OK,0.0201
TC_000067,RUN_00015,claims_triage_v3,3,policy_lookup,"{""customer_id"":""CUST_693828""}",2026-04-23T04:32:18Z,90,OK,0.0394
TC_000068,RUN_00015,claims_triage_v3,4,doc_extract,"{""customer_id"":""CUST_693828""}",2026-04-23T04:32:35Z,90,OK,0.0305
TC_000069,RUN_00016,kyc_refresh_v2,0,ofac_check,"{""customer_id"":""CUST_711906""}",2026-04-15T17:04:23Z,45,OK,0.004
TC_000070,RUN_00017,kyc_refresh_v2,0,customer_lookup,"{""customer_id"":""CUST_226049""}",2026-04-29T13:18:59Z,180,OK,0.0222
TC_000071,RUN_00017,kyc_refresh_v2,1,customer_lookup,"{""customer_id"":""CUST_226049""}",2026-04-29T13:19:21Z,90,OK,0.0236
TC_000072,RUN_00017,kyc_refresh_v2,2,edd_request,"{""customer_id"":""CUST_226049""}",2026-04-29T13:19:44Z,45,OK,0.028
TC_000073,RUN_00017,kyc_refresh_v2,3,edd_request,"{""customer_id"":""CUST_226049""}",2026-04-29T13:20:06Z,380,OK,0.0026
TC_000074,RUN_00018,claims_triage_v3,0,doc_extract,"{""customer_id"":""CUST_680192""}",2026-04-29T09:57:44Z,90,OK,0.027
TC_000075,RUN_00018,claims_triage_v3,1,claim_lookup,"{""customer_id"":""CUST_680192""}",2026-04-29T09:57:52Z,45,OK,0.0201
TC_000076,RUN_00018,claims_triage_v3,2,customer_match,"{""customer_id"":""CUST_680192""}",2026-04-29T09:58:00Z,45,OK,0.0032
TC_000077,RUN_00018,claims_triage_v3,3,policy_lookup,"{""customer_id"":""CUST_680192""}",2026-04-29T09:58:08Z,45,OK,0.0117
TC_000078,RUN_00018,claims_triage_v3,4,claim_lookup,"{""customer_id"":""CUST_680192""}",2026-04-29T09:58:16Z,45,OK,0.0234
TC_000079,RUN_00018,claims_triage_v3,5,comm_draft,"{""customer_id"":""CUST_680192""}",2026-04-29T09:58:24Z,90,OK,0.0327
TC_000080,RUN_00019,dispute_recon_v1,0,doc_extract,"{""customer_id"":""CUST_997710""}",2026-04-17T18:56:00Z,720,OK,0.0235
TC_000081,RUN_00019,dispute_recon_v1,1,txn_match,"{""customer_id"":""CUST_997710""}",2026-04-17T18:56:03Z,45,OK,0.0053
TC_000082,RUN_00019,dispute_recon_v1,2,txn_match,"{""customer_id"":""CUST_997710""}",2026-04-17T18:56:06Z,45,OK,0.0065
TC_000083,RUN_00020,claims_triage_v3,0,doc_extract,"{""customer_id"":""CUST_402566""}",2026-04-20T14:40:33Z,45,OK,0.0039
TC_000084,RUN_00020,claims_triage_v3,1,comm_draft,"{""customer_id"":""CUST_402566""}",2026-04-20T14:40:45Z,90,OK,0.0334
TC_000085,RUN_00020,claims_triage_v3,2,policy_lookup,"{""customer_id"":""CUST_402566""}",2026-04-20T14:40:58Z,1850,OK,0.0074
TC_000086,RUN_00020,claims_triage_v3,3,adjudication_calc,"{""customer_id"":""CUST_402566""}",2026-04-20T14:41:10Z,45,OK,0.0299
TC_000087,RUN_00020,claims_triage_v3,4,adjudication_calc,"{""customer_id"":""CUST_402566""}",2026-04-20T14:41:23Z,90,OK,0.0109
TC_000088,RUN_00020,claims_triage_v3,5,doc_extract,"{""customer_id"":""CUST_402566""}",2026-04-20T14:41:35Z,45,OK,0.0359
TC_000089,RUN_00020,claims_triage_v3,6,comm_draft,"{""customer_id"":""CUST_402566""}",2026-04-20T14:41:48Z,45,OK,0.024
TC_000090,RUN_00021,dispute_recon_v1,0,ledger_lookup,"{""customer_id"":""CUST_761003""}",2026-04-01T06:24:04Z,90,OK,0.0303
TC_000091,RUN_00021,dispute_recon_v1,1,doc_extract,"{""customer_id"":""CUST_761003""}",2026-04-01T06:24:08Z,45,OK,0.0361
TC_000092,RUN_00021,dispute_recon_v1,2,ledger_lookup,"{""customer_id"":""CUST_761003""}",2026-04-01T06:24:12Z,90,OK,0.0073
TC_000093,RUN_00021,dispute_recon_v1,3,txn_match,"{""customer_id"":""CUST_761003""}",2026-04-01T06:24:16Z,45,OK,0.0295
TC_000094,RUN_00021,dispute_recon_v1,4,case_create,"{""customer_id"":""CUST_761003""}",2026-04-01T06:24:20Z,45,OK,0.0296
TC_000095,RUN_00022,kyc_refresh_v2,0,case_create,"{""customer_id"":""CUST_782093""}",2026-04-30T09:58:34Z,90,OK,0.0213
TC_000096,RUN_00023,dispute_recon_v1,0,chargeback_init,"{""customer_id"":""CUST_183022""}",2026-04-28T05:20:10Z,90,OK,0.0185
TC_000097,RUN_00023,dispute_recon_v1,1,ledger_lookup,"{""customer_id"":""CUST_183022""}",2026-04-28T05:20:14Z,45,OK,0.0338
TC_000098,RUN_00023,dispute_recon_v1,2,doc_extract,"{""customer_id"":""CUST_183022""}",2026-04-28T05:20:18Z,720,OK,0.0169
TC_000099,RUN_00023,dispute_recon_v1,3,merchant_check,"{""customer_id"":""CUST_183022""}",2026-04-28T05:20:22Z,45,OK,0.0339
TC_000100,RUN_00023,dispute_recon_v1,4,merchant_check,"{""customer_id"":""CUST_183022""}",2026-04-28T05:20:26Z,90,OK,0.0043
TC_000101,RUN_00023,dispute_recon_v1,5,doc_extract,"{""customer_id"":""CUST_183022""}",2026-04-28T05:20:30Z,45,OK,0.0166
TC_000102,RUN_00024,claims_triage_v3,0,policy_lookup,"{""customer_id"":""CUST_309159""}",2026-04-25T03:30:59Z,90,OK,0.0304
TC_000103,RUN_00024,claims_triage_v3,1,fraud_score,"{""customer_id"":""CUST_309159""}",2026-04-25T03:31:53Z,380,OK,0.0252
TC_000104,RUN_00024,claims_triage_v3,2,adjudication_calc,"{""customer_id"":""CUST_309159""}",2026-04-25T03:32:47Z,720,OK,0.0072
TC_000105,RUN_00024,claims_triage_v3,3,ticket_create,"{""customer_id"":""CUST_309159""}",2026-04-25T03:33:42Z,180,OK,0.0047
TC_000106,RUN_00024,claims_triage_v3,4,fraud_score,"{""customer_id"":""CUST_309159""}",2026-04-25T03:34:36Z,45,OK,0.0157
TC_000107,RUN_00024,claims_triage_v3,5,ticket_create,"{""customer_id"":""CUST_309159""}",2026-04-25T03:35:31Z,45,OK,0.0111
TC_000108,RUN_00024,claims_triage_v3,6,policy_lookup,"{""customer_id"":""CUST_309159""}",2026-04-25T03:36:25Z,90,OK,0.0203
TC_000109,RUN_00025,claims_triage_v3,0,policy_lookup,"{""customer_id"":""CUST_855655""}",2026-04-11T18:28:37Z,180,OK,0.0278
TC_000110,RUN_00025,claims_triage_v3,1,siu_check,"{""customer_id"":""CUST_855655""}",2026-04-11T18:28:40Z,90,OK,0.0157
TC_000111,RUN_00025,claims_triage_v3,2,fraud_score,"{""customer_id"":""CUST_855655""}",2026-04-11T18:28:43Z,180,OK,0.0126
TC_000112,RUN_00025,claims_triage_v3,3,comm_draft,"{""customer_id"":""CUST_855655""}",2026-04-11T18:28:46Z,180,OK,0.0017
TC_000113,RUN_00025,claims_triage_v3,4,ticket_create,"{""customer_id"":""CUST_855655""}",2026-04-11T18:28:49Z,180,OK,0.0119
TC_000114,RUN_00025,claims_triage_v3,5,claim_lookup,"{""customer_id"":""CUST_855655""}",2026-04-11T18:28:52Z,380,OK,0.0057
TC_000115,RUN_00026,claims_triage_v3,0,policy_lookup,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:38Z,180,OK,0.0226
TC_000116,RUN_00026,claims_triage_v3,1,claim_lookup,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:40Z,380,OK,0.02
TC_000117,RUN_00026,claims_triage_v3,2,doc_extract,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:42Z,45,OK,0.0204
TC_000118,RUN_00026,claims_triage_v3,3,fraud_score,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:44Z,90,OK,0.0065
TC_000119,RUN_00026,claims_triage_v3,4,comm_draft,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:46Z,380,OK,0.0333
TC_000120,RUN_00026,claims_triage_v3,5,fraud_score,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:48Z,180,OK,0.0205
TC_000121,RUN_00026,claims_triage_v3,6,customer_match,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:50Z,90,OK,0.029
TC_000122,RUN_00026,claims_triage_v3,7,comm_draft,"{""customer_id"":""CUST_500892""}",2026-04-09T14:35:52Z,45,OK,0.0365
TC_000123,RUN_00027,kyc_refresh_v2,0,pep_check,"{""customer_id"":""CUST_146659""}",2026-04-29T14:12:11Z,45,OK,0.025
TC_000124,RUN_00027,kyc_refresh_v2,1,customer_lookup,"{""customer_id"":""CUST_146659""}",2026-04-29T14:12:58Z,380,OK,0.036
TC_000125,RUN_00027,kyc_refresh_v2,2,doc_extract,"{""customer_id"":""CUST_146659""}",2026-04-29T14:13:45Z,45,OK,0.0243
TC_000126,RUN_00028,loan_pkg_v4,0,credit_pull,"{""customer_id"":""CUST_749175""}",2026-04-03T20:59:46Z,90,OK,0.0239
TC_000127,RUN_00028,loan_pkg_v4,1,compliance_scan,"{""customer_id"":""CUST_749175""}",2026-04-03T20:59:53Z,180,OK,0.0123
TC_000128,RUN_00028,loan_pkg_v4,2,doc_assemble,"{""customer_id"":""CUST_749175""}",2026-04-03T21:00:00Z,90,OK,0.0369
TC_000129,RUN_00028,loan_pkg_v4,3,title_check,"{""customer_id"":""CUST_749175""}",2026-04-03T21:00:08Z,45,OK,0.0379
TC_000130,RUN_00028,loan_pkg_v4,4,approval_route,"{""customer_id"":""CUST_749175""}",2026-04-03T21:00:15Z,90,OK,0.0273
TC_000131,RUN_00028,loan_pkg_v4,5,appraisal_request,"{""customer_id"":""CUST_749175""}",2026-04-03T21:00:22Z,90,OK,0.0319
TC_000132,RUN_00029,dispute_recon_v1,0,doc_extract,"{""customer_id"":""CUST_364969""}",2026-04-21T22:05:24Z,180,OK,0.0395
TC_000133,RUN_00029,dispute_recon_v1,1,ledger_lookup,"{""customer_id"":""CUST_364969""}",2026-04-21T22:06:11Z,45,OK,0.0076
TC_000134,RUN_00029,dispute_recon_v1,2,chargeback_init,"{""customer_id"":""CUST_364969""}",2026-04-21T22:06:58Z,45,OK,0.023
TC_000135,RUN_00030,dispute_recon_v1,0,case_create,"{""customer_id"":""CUST_532106""}",2026-04-04T21:49:01Z,380,OK,0.0178
TC_000136,RUN_00030,dispute_recon_v1,1,case_create,"{""customer_id"":""CUST_532106""}",2026-04-04T21:49:15Z,180,OK,0.0196
TC_000137,RUN_00030,dispute_recon_v1,2,case_create,"{""customer_id"":""CUST_532106""}",2026-04-04T21:49:29Z,45,OK,0.0122
TC_000138,RUN_00030,dispute_recon_v1,3,txn_match,"{""customer_id"":""CUST_532106""}",2026-04-04T21:49:43Z,720,OK,0.0344
TC_000139,RUN_00030,dispute_recon_v1,4,txn_match,"{""customer_id"":""CUST_532106""}",2026-04-04T21:49:57Z,720,OK,0.0157
TC_000140,RUN_00030,dispute_recon_v1,5,chargeback_init,"{""customer_id"":""CUST_532106""}",2026-04-04T21:50:11Z,45,OK,0.003
TC_000141,RUN_00031,dispute_recon_v1,0,ledger_lookup,"{""customer_id"":""CUST_618600""}",2026-04-19T03:41:26Z,380,OK,0.0335
TC_000142,RUN_00031,dispute_recon_v1,1,chargeback_init,"{""customer_id"":""CUST_618600""}",2026-04-19T03:41:47Z,180,OK,0.0383
TC_000143,RUN_00031,dispute_recon_v1,2,doc_extract,"{""customer_id"":""CUST_618600""}",2026-04-19T03:42:09Z,45,OK,0.0271
TC_000144,RUN_00031,dispute_recon_v1,3,merchant_check,"{""customer_id"":""CUST_618600""}",2026-04-19T03:42:31Z,180,OK,0.0283
TC_000145,RUN_00032,dispute_recon_v1,0,ledger_lookup,"{""customer_id"":""CUST_804917""}",2026-04-12T20:18:12Z,180,OK,0.0085
TC_000146,RUN_00032,dispute_recon_v1,1,merchant_check,"{""customer_id"":""CUST_804917""}",2026-04-12T20:18:13Z,45,OK,0.0022
TC_000147,RUN_00032,dispute_recon_v1,2,merchant_check,"{""customer_id"":""CUST_804917""}",2026-04-12T20:18:15Z,45,OK,0.0214
TC_000148,RUN_00032,dispute_recon_v1,3,case_create,"{""customer_id"":""CUST_804917""}",2026-04-12T20:18:17Z,45,OK,0.009
TC_000149,RUN_00033,dispute_recon_v1,0,chargeback_init,"{""customer_id"":""CUST_933159""}",2026-04-03T00:19:31Z,45,OK,0.0369
TC_000150,RUN_00034,loan_pkg_v4,0,comm_draft,"{""customer_id"":""CUST_153096""}",2026-04-26T08:42:38Z,90,OK,0.0324
TC_000151,RUN_00034,loan_pkg_v4,1,comm_draft,"{""customer_id"":""CUST_153096""}",2026-04-26T08:42:42Z,180,OK,0.0088
TC_000152,RUN_00034,loan_pkg_v4,2,rate_lock,"{""customer_id"":""CUST_153096""}",2026-04-26T08:42:46Z,45,OK,0.0377
TC_000153,RUN_00034,loan_pkg_v4,3,rate_lock,"{""customer_id"":""CUST_153096""}",2026-04-26T08:42:50Z,45,OK,0.0323
TC_000154,RUN_00034,loan_pkg_v4,4,approval_route,"{""customer_id"":""CUST_153096""}",2026-04-26T08:42:54Z,45,OK,0.0097
TC_000155,RUN_00034,loan_pkg_v4,5,approval_route,"{""customer_id"":""CUST_153096""}",2026-04-26T08:42:58Z,45,OK,0.0298
TC_000156,RUN_00034,loan_pkg_v4,6,income_verify,"{""customer_id"":""CUST_153096""}",2026-04-26T08:43:02Z,45,OK,0.0269
TC_000157,RUN_00034,loan_pkg_v4,7,title_check,"{""customer_id"":""CUST_153096""}",2026-04-26T08:43:06Z,90,OK,0.0052
TC_000158,RUN_00035,kyc_refresh_v2,0,regulator_filing,"{""customer_id"":""CUST_916085""}",2026-04-16T21:19:57Z,90,OK,0.0378
TC_000159,RUN_00035,kyc_refresh_v2,1,customer_lookup,"{""customer_id"":""CUST_916085""}",2026-04-16T21:20:07Z,380,OK,0.0221
TC_000160,RUN_00035,kyc_refresh_v2,2,case_create,"{""customer_id"":""CUST_916085""}",2026-04-16T21:20:18Z,90,OK,0.0034
TC_000161,RUN_00035,kyc_refresh_v2,3,ofac_check,"{""customer_id"":""CUST_916085""}",2026-04-16T21:20:29Z,180,OK,0.0333
TC_000162,RUN_00035,kyc_refresh_v2,4,case_create,"{""customer_id"":""CUST_916085""}",2026-04-16T21:20:40Z,90,OK,0.0384
TC_000163,RUN_00035,kyc_refresh_v2,5,ofac_check,"{""customer_id"":""CUST_916085""}",2026-04-16T21:20:50Z,380,OK,0.0279
TC_000164,RUN_00035,kyc_refresh_v2,6,ofac_check,"{""customer_id"":""CUST_916085""}",2026-04-16T21:21:01Z,90,OK,0.0262
TC_000165,RUN_00035,kyc_refresh_v2,7,pep_check,"{""customer_id"":""CUST_916085""}",2026-04-16T21:21:12Z,45,OK,0.0111
TC_000166,RUN_00036,loan_pkg_v4,0,app_lookup,"{""customer_id"":""CUST_807242""}",2026-04-28T12:53:28Z,720,OK,0.0119
TC_000167,RUN_00036,loan_pkg_v4,1,income_verify,"{""customer_id"":""CUST_807242""}",2026-04-28T12:53:29Z,90,OK,0.0163
TC_000168,RUN_00036,loan_pkg_v4,2,asset_verify,"{""customer_id"":""CUST_807242""}",2026-04-28T12:53:31Z,45,OK,0.0223
TC_000169,RUN_00036,loan_pkg_v4,3,title_check,"{""customer_id"":""CUST_807242""}",2026-04-28T12:53:32Z,45,OK,0.0141
TC_000170,RUN_00036,loan_pkg_v4,4,title_check,"{""customer_id"":""CUST_807242""}",2026-04-28T12:53:34Z,380,OK,0.03
TC_000171,RUN_00037,dispute_recon_v1,0,ledger_lookup,"{""customer_id"":""CUST_265139""}",2026-04-16T15:23:00Z,90,OK,0.0041
TC_000172,RUN_00037,dispute_recon_v1,1,doc_extract,"{""customer_id"":""CUST_265139""}",2026-04-16T15:23:04Z,180,OK,0.0034
TC_000173,RUN_00037,dispute_recon_v1,2,txn_match,"{""customer_id"":""CUST_265139""}",2026-04-16T15:23:08Z,45,OK,0.0095
TC_000174,RUN_00037,dispute_recon_v1,3,ledger_lookup,"{""customer_id"":""CUST_265139""}",2026-04-16T15:23:12Z,90,OK,0.0396
TC_000175,RUN_00037,dispute_recon_v1,4,ledger_lookup,"{""customer_id"":""CUST_265139""}",2026-04-16T15:23:16Z,380,OK,0.0366
TC_000176,RUN_00038,kyc_refresh_v2,0,regulator_filing,"{""customer_id"":""CUST_535400""}",2026-04-01T20:46:41Z,45,OK,0.0181
TC_000177,RUN_00038,kyc_refresh_v2,1,pep_check,"{""customer_id"":""CUST_535400""}",2026-04-01T20:47:57Z,45,OK,0.0068
TC_000178,RUN_00038,kyc_refresh_v2,2,doc_extract,"{""customer_id"":""CUST_535400""}",2026-04-01T20:49:13Z,90,OK,0.0339
TC_000179,RUN_00038,kyc_refresh_v2,3,ofac_check,"{""customer_id"":""CUST_535400""}",2026-04-01T20:50:30Z,180,OK,0.0047
TC_000180,RUN_00038,kyc_refresh_v2,4,doc_extract,"{""customer_id"":""CUST_535400""}",2026-04-01T20:51:46Z,180,OK,0.0393
TC_000181,RUN_00039,claims_triage_v3,0,claim_lookup,"{""customer_id"":""CUST_839952"",""claim_id"":""CLM_447000"",""retry"":0}",2026-04-01T21:31:59Z,523,OK,0.0154
TC_000182,RUN_00039,claims_triage_v3,1,claim_lookup,"{""customer_id"":""CUST_839952"",""claim_id"":""CLM_447001"",""retry"":1}",2026-04-01T21:32:00Z,504,OK,0.0123
TC_000183,RUN_00039,claims_triage_v3,2,claim_lookup,"{""customer_id"":""CUST_839952"",""claim_id"":""CLM_447002"",""retry"":2}",2026-04-01T21:32:01Z,200,OK,0.0167
TC_000184,RUN_00039,claims_triage_v3,3,claim_lookup,"{""customer_id"":""CUST_839952"",""claim_id"":""CLM_447003"",""retry"":3}",2026-04-01T21:32:03Z,546,OK,0.012
