date,model_id,feature_dti,feature_fico,feature_ltv,segment,prediction,confidence
2026-01-01,credit_pd_v3,0.3037,663.0,0.6754,subprime_650_680,0.5081,0.9951
2026-01-01,credit_pd_v3,0.3922,698.2,0.7201,prime_720_plus,0.5576,0.9654
2026-01-01,credit_pd_v3,0.3852,724.4,0.5798,prime_720_plus,0.5493,0.9704
2026-01-01,credit_pd_v3,0.4041,674.0,0.4467,subprime_650_680,0.5687,0.9588
2026-01-01,credit_pd_v3,0.2984,735.0,0.8043,prime_720_plus,0.4935,0.9961
2026-01-01,credit_pd_v3,0.3432,696.0,0.4344,prime_720_plus,0.5276,0.9834
2026-01-01,credit_pd_v3,0.3883,708.3,0.5115,prime_720_plus,0.5537,0.9678
2026-01-01,credit_loss_v2,,10763.8,0.6352,all,0.2049,0.8905
2026-01-01,credit_loss_v2,,7756.6,0.5676,all,0.7465,0.8091
2026-01-01,credit_loss_v2,,4875.2,0.3026,all,0.22,0.8319
2026-01-01,credit_loss_v2,,3265.3,0.3934,all,0.5326,0.895
2026-01-01,credit_loss_v2,,6198.7,0.4262,all,0.6705,0.8951
2026-01-01,credit_loss_v2,,13545.9,0.5559,all,0.6264,0.8573
2026-01-01,credit_loss_v2,,9213.8,0.5986,all,0.4588,0.8632
2026-01-01,credit_loss_v2,,3837.4,0.309,all,0.4299,0.8448
2026-01-01,credit_loss_v2,,8990.4,0.0943,all,0.467,0.8293
2026-01-01,credit_loss_v2,,10210.7,0.6529,all,0.2792,0.8329
2026-01-01,credit_loss_v2,,4768.0,0.5455,all,0.385,0.8673
2026-01-01,credit_loss_v2,,8886.0,0.2432,all,0.4847,0.8752
2026-01-01,credit_loss_v2,,8391.1,0.5977,all,0.1127,0.8792
2026-01-01,credit_loss_v2,,4081.5,0.1536,all,0.3,0.879
2026-01-01,credit_loss_v2,,10043.4,0.7234,all,0.5188,0.8091
2026-01-01,heloc_pd_v1,0.8054,746.1,0.8054,all,0.0802,0.88
2026-01-01,heloc_pd_v1,0.6501,756.8,0.6501,all,0.045,0.88
2026-01-01,heloc_pd_v1,0.7191,766.2,0.7191,all,0.1074,0.88
2026-01-01,heloc_pd_v1,0.511,774.6,0.511,all,0.0865,0.88
2026-01-01,heloc_pd_v1,0.897,725.7,0.897,all,0.0779,0.88
2026-01-01,heloc_pd_v1,0.6891,720.1,0.6891,all,0.0292,0.88
2026-01-01,heloc_pd_v1,0.8004,780.8,0.8004,all,0.0752,0.88
2026-01-01,heloc_pd_v1,0.7814,678.9,0.7814,all,0.0532,0.88
2026-01-01,heloc_pd_v1,0.8558,787.1,0.8558,all,0.2781,0.88
2026-01-01,heloc_pd_v1,0.6767,730.9,0.6767,all,0.1584,0.88
2026-01-01,auto_pd_v4,0.2348,792.4,0.5067,all,0.2602,0.82
2026-01-01,auto_pd_v4,0.2172,706.7,0.8566,all,0.1558,0.82
2026-01-01,auto_pd_v4,0.3412,697.3,0.6925,all,0.0321,0.82
2026-01-01,auto_pd_v4,0.2823,723.3,0.3991,all,0.0706,0.82
2026-01-01,auto_pd_v4,0.4899,660.6,0.3404,all,0.0927,0.82
2026-01-01,auto_pd_v4,0.2801,725.3,0.7645,all,0.2161,0.82
2026-01-01,auto_pd_v4,0.2222,706.1,0.7793,all,0.2285,0.82
2026-01-01,auto_pd_v4,0.3163,722.4,0.5445,all,0.016,0.82
2026-01-01,auto_pd_v4,0.2381,722.5,0.3322,all,0.2534,0.82
2026-01-01,auto_pd_v4,0.3705,599.6,0.4522,all,0.2037,0.82
2026-01-01,auto_pd_v4,0.2648,669.4,0.801,all,0.1014,0.82
2026-01-01,auto_pd_v4,0.1894,705.1,0.6991,all,0.1124,0.82
2026-01-01,auto_pd_v4,0.2809,707.5,0.5473,all,0.1171,0.82
2026-01-01,auto_pd_v4,0.3039,721.7,0.4091,all,0.0436,0.82
2026-01-01,auto_pd_v4,0.2932,723.6,0.3991,all,0.3603,0.82
2026-01-01,fraud_card_v7,3.0,120.68,,card_present_pos,0.6086,0.9349
2026-01-01,fraud_card_v7,2.0,48.93,,card_present_pos,0.425,0.955
2026-01-01,fraud_card_v7,2.0,92.4,,card_present_pos,0.4464,0.9678
2026-01-01,fraud_card_v7,1.0,19.08,,card_present_pos,0.2765,0.8659
2026-01-01,fraud_card_v7,2.0,168.01,,card_present_pos,0.484,0.9904
2026-01-01,fraud_card_v7,2.0,55.43,,card_present_pos,0.4282,0.9569
2026-01-01,fraud_card_v7,1.0,39.54,,card_present_pos,0.2848,0.8709
2026-01-01,fraud_card_v7,0.0,190.38,,card_present_pos,0.2281,0.8368
2026-01-01,fraud_card_v7,3.0,32.97,,card_present_pos,0.5661,0.9603
2026-01-01,fraud_card_v7,4.0,16.31,,card_present_pos,0.6969,0.8819
2026-01-01,fraud_card_v7,4.0,14.06,,card_present_pos,0.696,0.8824
2026-01-01,fraud_card_v7,3.0,122.24,,card_present_pos,0.6093,0.9344
2026-01-01,fraud_card_v7,3.0,18.53,,card_present_pos,0.559,0.9646
2026-01-01,fraud_card_v7,2.0,385.6,,card_present_pos,0.5917,0.945
2026-01-01,fraud_card_v7,2.0,8.32,,card_present_pos,0.4053,0.9432
2026-01-01,fraud_card_v7,3.0,363.75,,card_present_pos,0.7166,0.8701
2026-01-01,fraud_card_v7,3.0,82.35,,card_present_pos,0.5902,0.9459
2026-01-01,fraud_card_v7,3.0,60.54,,card_present_pos,0.5796,0.9522
2026-01-01,fraud_card_v7,5.0,38.67,,card_present_pos,0.8142,0.8115
2026-01-01,fraud_card_v7,3.0,99.4,,card_present_pos,0.5984,0.941
2026-01-01,fraud_card_v7,5.0,64.22,,card_present_pos,0.8218,0.8069
2026-01-01,fraud_card_v7,1.0,201.0,,card_present_pos,0.3548,0.9129
2026-01-01,fraud_card_v7,1.0,74.76,,card_present_pos,0.2993,0.8796
2026-01-01,fraud_card_v7,5.0,77.5,,card_present_pos,0.8256,0.8046
2026-01-01,fraud_card_v7,2.0,46.36,,card_present_pos,0.4238,0.9543
2026-01-01,fraud_card_v7,2.0,62.99,,card_present_pos,0.4319,0.9592
2026-01-01,fraud_card_v7,5.0,90.72,,card_present_pos,0.8294,0.8024
2026-01-01,fraud_card_v7,1.0,12.06,,card_present_pos,0.2737,0.8642
2026-01-01,fraud_card_v7,5.0,17.32,,card_present_pos,0.8076,0.8154
2026-01-01,fraud_card_v7,3.0,140.23,,card_present_pos,0.6179,0.9293
2026-01-01,fraud_card_v7,6.0,79.11,,card_present_pos,0.8964,0.7621
2026-01-01,fraud_card_v7,6.0,55.48,,card_present_pos,0.892,0.7648
2026-01-01,fraud_card_v7,3.0,67.93,,card_present_pos,0.5832,0.9501
2026-01-01,fraud_card_v7,5.0,94.4,,card_present_pos,0.8304,0.8017
2026-01-01,fraud_card_v7,2.0,38.87,,card_present_pos,0.4201,0.9521
2026-01-01,fraud_card_v7,2.0,30.62,,card_present_pos,0.4161,0.9497
2026-01-01,fraud_card_v7,3.0,81.11,,card_present_pos,0.5896,0.9463
2026-01-01,fraud_card_v7,2.0,25.07,,card_present_pos,0.4134,0.948
2026-01-01,fraud_card_v7,1.0,100.31,,card_present_pos,0.3102,0.8861
2026-01-01,fraud_card_v7,3.0,12.15,,card_present_pos,0.5558,0.9665
2026-01-01,fraud_card_v7,2.0,186.64,,card_present_pos,0.4933,0.996
2026-01-01,fraud_card_v7,3.0,106.98,,card_present_pos,0.602,0.9388
2026-01-01,fraud_card_v7,1.0,86.14,,card_present_pos,0.3041,0.8825
2026-01-01,fraud_card_v7,3.0,178.16,,card_present_pos,0.6356,0.9186
2026-01-01,fraud_card_v7,3.0,352.65,,card_present_pos,0.712,0.8728
2026-01-01,fraud_card_v7,1.0,183.9,,card_present_pos,0.347,0.9082
2026-01-01,fraud_card_v7,2.0,10.58,,card_present_pos,0.4064,0.9438
2026-01-01,fraud_card_v7,3.0,18.55,,card_present_pos,0.559,0.9646
2026-01-01,fraud_card_v7,2.0,35.7,,card_present_pos,0.4186,0.9511
2026-01-01,fraud_card_v7,3.0,68.45,,card_present_pos,0.5834,0.9499
2026-01-01,fraud_card_v7,2.0,111.91,,card_present_pos,0.4561,0.9736
2026-01-01,fraud_card_v7,0.0,32.27,,card_present_pos,0.1772,0.8063
2026-01-01,fraud_card_v7,2.0,80.38,,card_present_pos,0.4405,0.9643
2026-01-01,fraud_card_v7,0.0,31.33,,card_present_pos,0.1769,0.8062
2026-01-01,fraud_card_v7,1.0,36.18,,card_present_pos,0.2834,0.87
2026-01-01,fraud_card_v7,1.0,16.34,,card_present_pos,0.2754,0.8652
2026-01-01,fraud_card_v7,1.0,26.49,,card_present_pos,0.2795,0.8677
2026-01-01,fraud_card_v7,2.0,17.26,,card_present_pos,0.4096,0.9458
2026-01-01,fraud_card_v7,1.0,25.13,,card_present_pos,0.2789,0.8674
2026-01-01,fraud_card_v7,5.0,191.26,,card_present_pos,0.856,0.7864
2026-01-01,fraud_ach_v3,,94.69,,all,0.0827,0.78
2026-01-01,fraud_ach_v3,,3402.9,,all,0.0318,0.78
2026-01-01,fraud_ach_v3,,400.74,,all,0.0468,0.78
2026-01-01,fraud_ach_v3,,294.37,,all,0.0671,0.78
2026-01-01,fraud_ach_v3,,103.71,,all,0.0521,0.78
2026-01-01,fraud_ach_v3,,492.9,,all,0.0096,0.78
2026-01-01,fraud_ach_v3,,137.6,,all,0.0324,0.78
2026-01-01,fraud_ach_v3,,276.44,,all,0.085,0.78
2026-01-01,fraud_ach_v3,,3165.56,,all,0.0263,0.78
2026-01-01,fraud_ach_v3,,222.28,,all,0.1106,0.78
2026-01-01,fraud_ach_v3,,772.22,,all,0.103,0.78
2026-01-01,fraud_ach_v3,,121.13,,all,0.0408,0.78
2026-01-01,fraud_ach_v3,,236.28,,all,0.0339,0.78
2026-01-01,fraud_ach_v3,,1437.7,,all,0.0179,0.78
2026-01-01,fraud_ach_v3,,130.72,,all,0.0192,0.78
2026-01-01,fraud_ach_v3,,1498.84,,all,0.0266,0.78
2026-01-01,fraud_ach_v3,,496.58,,all,0.0147,0.78
2026-01-01,fraud_ach_v3,,139.43,,all,0.0352,0.78
2026-01-01,fraud_ach_v3,,460.54,,all,0.0831,0.78
2026-01-01,fraud_ach_v3,,647.13,,all,0.0506,0.78
2026-01-01,aml_sar_v2,,,,all,0.3166,0.74
2026-01-01,aml_sar_v2,,,,all,0.1721,0.74
2026-01-01,aml_sar_v2,,,,all,0.252,0.74
2026-01-01,aml_sar_v2,,,,all,0.1621,0.74
2026-01-01,aml_sar_v2,,,,all,0.1856,0.74
2026-01-01,aml_sar_v2,,,,all,0.501,0.74
2026-01-01,aml_sar_v2,,,,all,0.1405,0.74
2026-01-01,aml_sar_v2,,,,all,0.2557,0.74
2026-01-01,aml_sar_v2,,,,all,0.1125,0.74
2026-01-01,aml_sar_v2,,,,all,0.4908,0.74
2026-01-01,support_qa_v2,0.0,189.0,0.9792,all,0.9792,0.9792
2026-01-01,support_qa_v2,0.0,190.7,0.9176,all,0.9176,0.9176
2026-01-01,support_qa_v2,0.0,163.9,0.8621,all,0.8621,0.8621
2026-01-01,support_qa_v2,0.0,201.5,0.9255,all,0.9255,0.9255
2026-01-01,support_qa_v2,0.0,181.9,0.9666,all,0.9666,0.9666
2026-01-01,support_qa_v2,0.0,228.4,0.9385,all,0.9385,0.9385
2026-01-01,support_qa_v2,0.0,122.3,0.9298,all,0.9298,0.9298
2026-01-01,support_qa_v2,0.0,187.0,0.8919,all,0.8919,0.8919
2026-01-01,support_qa_v2,0.0,196.3,0.6448,all,0.6448,0.6448
2026-01-01,support_qa_v2,0.0,172.5,0.9763,all,0.9763,0.9763
2026-01-01,support_qa_v2,0.0,163.8,0.9081,all,0.9081,0.9081
2026-01-01,support_qa_v2,0.0,165.5,0.8936,all,0.8936,0.8936
2026-01-01,support_qa_v2,0.0,187.0,0.9302,all,0.9302,0.9302
2026-01-01,support_qa_v2,0.0,107.6,0.9675,all,0.9675,0.9675
2026-01-01,support_qa_v2,0.0,218.6,0.9474,all,0.9474,0.9474
2026-01-01,support_qa_v2,0.0,160.8,0.7812,all,0.7812,0.7812
2026-01-01,support_qa_v2,0.0,185.1,0.9268,all,0.9268,0.9268
2026-01-01,support_qa_v2,0.0,194.7,0.7756,all,0.7756,0.7756
2026-01-01,support_qa_v2,0.0,159.0,0.7944,all,0.7944,0.7944
2026-01-01,support_qa_v2,0.0,174.8,0.7148,all,0.7148,0.7148
2026-01-01,support_qa_v2,0.0,98.6,0.9595,all,0.9595,0.9595
2026-01-01,support_qa_v2,0.0,209.3,0.8346,all,0.8346,0.8346
2026-01-01,support_qa_v2,0.0,223.2,0.6585,all,0.6585,0.6585
2026-01-01,support_qa_v2,0.0,112.0,0.9173,all,0.9173,0.9173
2026-01-01,support_qa_v2,0.0,163.7,0.933,all,0.933,0.933
2026-01-01,support_qa_v2,0.0,130.8,0.9042,all,0.9042,0.9042
2026-01-01,support_qa_v2,0.0,172.9,0.9284,all,0.9284,0.9284
2026-01-01,support_qa_v2,0.0,205.9,0.8401,all,0.8401,0.8401
2026-01-01,support_qa_v2,0.0,219.5,0.8402,all,0.8402,0.8402
2026-01-01,support_qa_v2,0.0,224.9,0.6081,all,0.6081,0.6081
2026-01-01,support_qa_v2,0.0,232.4,0.9046,all,0.9046,0.9046
2026-01-01,support_qa_v2,0.0,171.1,0.9181,all,0.9181,0.9181
2026-01-01,support_qa_v2,0.0,134.1,0.8749,all,0.8749,0.8749
2026-01-01,support_qa_v2,0.0,175.4,0.8251,all,0.8251,0.8251
2026-01-01,support_qa_v2,1.0,205.3,0.9773,all,0.9773,0.9773
2026-01-01,support_qa_v2,0.0,130.9,0.9384,all,0.9384,0.9384
2026-01-01,support_qa_v2,0.0,246.4,0.9152,all,0.9152,0.9152
2026-01-01,support_qa_v2,0.0,215.9,0.9863,all,0.9863,0.9863
2026-01-01,support_qa_v2,0.0,171.7,0.9278,all,0.9278,0.9278
2026-01-01,support_qa_v2,0.0,151.6,0.9275,all,0.9275,0.9275
2026-01-02,credit_pd_v3,0.2558,803.1,0.8887,prime_720_plus,0.4564,0.9738
2026-01-02,credit_pd_v3,0.3178,734.5,0.6,prime_720_plus,0.5058,0.9965
2026-01-02,credit_pd_v3,0.4602,771.9,0.8606,prime_720_plus,0.588,0.9472
2026-01-02,credit_pd_v3,0.3874,707.9,0.6563,prime_720_plus,0.5532,0.9681
2026-01-02,credit_pd_v3,0.3415,735.2,0.6147,prime_720_plus,0.5204,0.9877
2026-01-02,credit_pd_v3,0.2886,706.9,0.6718,prime_720_plus,0.4918,0.9951
2026-01-02,credit_pd_v3,0.3247,698.0,0.6747,prime_720_plus,0.5158,0.9905
2026-01-02,credit_pd_v3,0.3338,721.9,0.5803,prime_720_plus,0.5177,0.9894
2026-01-02,credit_pd_v3,0.3514,692.5,0.8307,prime_720_plus,0.5333,0.98
2026-01-02,credit_pd_v3,0.2446,714.8,0.8962,prime_720_plus,0.4632,0.9779
2026-01-02,credit_pd_v3,0.291,678.6,0.6003,subprime_650_680,0.4977,0.9986
2026-01-02,credit_pd_v3,0.2437,712.4,0.8387,prime_720_plus,0.463,0.9778
2026-01-02,credit_pd_v3,0.4342,737.9,0.7412,prime_720_plus,0.5773,0.9536
2026-01-02,credit_pd_v3,0.266,696.4,0.6723,prime_720_plus,0.4793,0.9876
2026-01-02,credit_pd_v3,0.3408,720.4,0.7012,prime_720_plus,0.5223,0.9866
2026-01-02,credit_pd_v3,0.3904,725.6,0.595,prime_720_plus,0.5523,0.9686
2026-01-02,credit_pd_v3,0.3023,738.1,0.7123,prime_720_plus,0.4955,0.9973
2026-01-02,credit_pd_v3,0.3438,714.7,0.8336,prime_720_plus,0.5251,0.9849
2026-01-02,credit_pd_v3,0.4205,763.4,0.507,prime_720_plus,0.565,0.961
2026-01-02,credit_pd_v3,0.259,636.0,0.5101,subprime_650_680,0.4844,0.9906
2026-01-02,credit_pd_v3,0.3449,837.5,0.7864,prime_720_plus,0.5066,0.9961
2026-01-02,credit_pd_v3,0.2021,685.2,0.4618,prime_720_plus,0.4414,0.9648
2026-01-02,credit_pd_v3,0.2546,736.1,0.6044,prime_720_plus,0.4661,0.9796
2026-01-02,credit_pd_v3,0.3933,682.5,0.6207,prime_720_plus,0.5607,0.9636
2026-01-02,credit_pd_v3,0.3599,745.8,0.5767,prime_720_plus,0.5302,0.9819
2026-01-02,credit_pd_v3,0.3705,731.1,0.863,prime_720_plus,0.5391,0.9765
2026-01-02,credit_pd_v3,0.3645,694.0,0.4368,prime_720_plus,0.5411,0.9753
2026-01-02,credit_pd_v3,0.4103,762.9,0.6246,prime_720_plus,0.5588,0.9647
2026-01-02,credit_pd_v3,0.3017,713.4,0.502,prime_720_plus,0.499,0.9994
2026-01-02,credit_pd_v3,0.3284,741.9,0.8172,prime_720_plus,0.5112,0.9933
2026-01-02,credit_loss_v2,,3645.5,0.4287,all,0.3095,0.8121
2026-01-02,credit_loss_v2,,8538.3,0.2766,all,0.5187,0.8615
2026-01-02,credit_loss_v2,,12392.6,0.4072,all,0.2269,0.8775
2026-01-02,credit_loss_v2,,4871.4,0.7437,all,0.2013,0.8644
2026-01-02,credit_loss_v2,,3100.7,0.0741,all,0.0953,0.853
2026-01-02,credit_loss_v2,,29538.4,0.4873,all,0.3812,0.8042
2026-01-02,credit_loss_v2,,4109.8,0.0415,all,0.6545,0.8968
2026-01-02,credit_loss_v2,,13383.7,0.6799,all,0.2664,0.8799
2026-01-02,credit_loss_v2,,8256.5,0.323,all,0.3222,0.8293
2026-01-02,credit_loss_v2,,9421.8,0.3864,all,0.194,0.898
2026-01-02,credit_loss_v2,,8095.5,0.5519,all,0.322,0.8602
2026-01-02,credit_loss_v2,,6432.3,0.1315,all,0.1619,0.8582
2026-01-02,credit_loss_v2,,10704.1,0.2837,all,0.3401,0.8748
2026-01-02,credit_loss_v2,,6228.2,0.5094,all,0.4889,0.8812
2026-01-02,credit_loss_v2,,16314.0,0.4508,all,0.3182,0.8656
2026-01-02,heloc_pd_v1,0.6835,765.8,0.6835,all,0.1303,0.88
2026-01-02,heloc_pd_v1,0.6361,722.5,0.6361,all,0.1293,0.88
2026-01-02,heloc_pd_v1,0.6155,735.0,0.6155,all,0.1775,0.88
2026-01-02,heloc_pd_v1,0.5234,748.5,0.5234,all,0.0605,0.88
2026-01-02,heloc_pd_v1,0.9256,732.5,0.9256,all,0.1282,0.88
2026-01-02,heloc_pd_v1,0.6097,788.2,0.6097,all,0.1031,0.88
2026-01-02,heloc_pd_v1,0.6979,754.7,0.6979,all,0.0897,0.88
2026-01-02,heloc_pd_v1,0.6923,762.0,0.6923,all,0.2014,0.88
2026-01-02,heloc_pd_v1,0.7507,759.9,0.7507,all,0.1971,0.88
2026-01-02,heloc_pd_v1,0.8016,775.2,0.8016,all,0.0395,0.88
2026-01-02,auto_pd_v4,0.2541,670.1,0.5751,all,0.0905,0.82
2026-01-02,auto_pd_v4,0.2819,690.3,0.6387,all,0.362,0.82
2026-01-02,auto_pd_v4,0.4254,742.5,0.6569,all,0.1578,0.82
2026-01-02,auto_pd_v4,0.1061,693.2,0.6221,all,0.1752,0.82
2026-01-02,auto_pd_v4,0.307,787.7,0.4264,all,0.2452,0.82
2026-01-02,auto_pd_v4,0.3635,692.0,0.5958,all,0.1084,0.82
2026-01-02,auto_pd_v4,0.4932,720.1,0.2364,all,0.1938,0.82
2026-01-02,auto_pd_v4,0.2412,752.0,0.3433,all,0.1109,0.82
2026-01-02,auto_pd_v4,0.5131,646.2,0.5229,all,0.0271,0.82
2026-01-02,auto_pd_v4,0.2338,630.8,0.7365,all,0.0536,0.82
2026-01-02,auto_pd_v4,0.2954,641.3,0.4996,all,0.1559,0.82
2026-01-02,auto_pd_v4,0.3495,766.8,0.6023,all,0.1147,0.82
2026-01-02,auto_pd_v4,0.3046,685.2,0.5928,all,0.2525,0.82
2026-01-02,auto_pd_v4,0.3098,825.1,0.7515,all,0.0754,0.82
2026-01-02,auto_pd_v4,0.3409,684.6,0.6605,all,0.1809,0.82
2026-01-02,fraud_card_v7,1.0,197.25,,card_present_pos,0.3531,0.9119
2026-01-02,fraud_card_v7,4.0,37.43,,card_present_pos,0.7058,0.8765
2026-01-02,fraud_card_v7,3.0,107.79,,card_present_pos,0.6024,0.9385
2026-01-02,fraud_card_v7,5.0,1023.38,,card_present_pos,0.9691,0.7185
2026-01-02,fraud_card_v7,5.0,97.26,,card_present_pos,0.8313,0.8012
2026-01-02,fraud_card_v7,2.0,55.67,,card_present_pos,0.4283,0.957
2026-01-02,fraud_card_v7,3.0,30.6,,card_present_pos,0.5649,0.961
2026-01-02,fraud_card_v7,2.0,54.91,,card_present_pos,0.428,0.9568
2026-01-02,fraud_card_v7,7.0,27.49,,card_present_pos,0.9343,0.7394
2026-01-02,fraud_card_v7,2.0,87.24,,card_present_pos,0.4439,0.9663
2026-01-02,fraud_card_v7,1.0,73.96,,card_present_pos,0.299,0.8794
2026-01-02,fraud_card_v7,4.0,7.67,,card_present_pos,0.6932,0.8841
2026-01-02,fraud_card_v7,4.0,65.46,,card_present_pos,0.7173,0.8696
2026-01-02,fraud_card_v7,3.0,195.61,,card_present_pos,0.6436,0.9138
2026-01-02,fraud_card_v7,2.0,44.74,,card_present_pos,0.423,0.9538
2026-01-02,fraud_card_v7,2.0,34.71,,card_present_pos,0.4181,0.9509
2026-01-02,fraud_card_v7,2.0,16.82,,card_present_pos,0.4094,0.9457
2026-01-02,fraud_card_v7,1.0,10.4,,card_present_pos,0.2731,0.8638
2026-01-02,fraud_card_v7,3.0,153.14,,card_present_pos,0.6239,0.9256
2026-01-02,fraud_card_v7,3.0,55.62,,card_present_pos,0.5772,0.9537
2026-01-02,fraud_card_v7,2.0,144.32,,card_present_pos,0.4722,0.9833
2026-01-02,fraud_card_v7,3.0,308.38,,card_present_pos,0.6935,0.8839
2026-01-02,fraud_card_v7,2.0,167.54,,card_present_pos,0.4838,0.9903
2026-01-02,fraud_card_v7,4.0,38.77,,card_present_pos,0.7063,0.8762
2026-01-02,fraud_card_v7,1.0,77.08,,card_present_pos,0.3003,0.8802
2026-01-02,fraud_card_v7,0.0,36.06,,card_present_pos,0.1783,0.807
2026-01-02,fraud_card_v7,6.0,32.84,,card_present_pos,0.8875,0.7675
2026-01-02,fraud_card_v7,3.0,93.95,,card_present_pos,0.5958,0.9425
2026-01-02,fraud_card_v7,1.0,29.01,,card_present_pos,0.2805,0.8683
2026-01-02,fraud_card_v7,3.0,7.32,,card_present_pos,0.5535,0.9679
2026-01-02,fraud_card_v7,2.0,27.44,,card_present_pos,0.4146,0.9487
2026-01-02,fraud_card_v7,0.0,49.06,,card_present_pos,0.1821,0.8093
2026-01-02,fraud_card_v7,4.0,305.33,,card_present_pos,0.8039,0.8177
2026-01-02,fraud_card_v7,3.0,40.82,,card_present_pos,0.5699,0.958
2026-01-02,fraud_card_v7,4.0,111.27,,card_present_pos,0.7355,0.8587
2026-01-02,fraud_card_v7,2.0,56.36,,card_present_pos,0.4287,0.9572
2026-01-02,fraud_card_v7,1.0,227.33,,card_present_pos,0.3669,0.9202
2026-01-02,fraud_card_v7,1.0,212.11,,card_present_pos,0.3599,0.9159
2026-01-02,fraud_card_v7,2.0,216.19,,card_present_pos,0.5081,0.9951
2026-01-02,fraud_card_v7,1.0,11.78,,card_present_pos,0.2736,0.8642
2026-01-02,fraud_card_v7,1.0,82.0,,card_present_pos,0.3024,0.8814
2026-01-02,fraud_card_v7,5.0,142.44,,card_present_pos,0.8436,0.7939
2026-01-02,fraud_card_v7,0.0,97.66,,card_present_pos,0.1971,0.8182
2026-01-02,fraud_card_v7,2.0,126.04,,card_present_pos,0.4631,0.9779
2026-01-02,fraud_card_v7,4.0,70.69,,card_present_pos,0.7194,0.8684
2026-01-02,fraud_card_v7,2.0,31.67,,card_present_pos,0.4166,0.95
2026-01-02,fraud_card_v7,1.0,12.22,,card_present_pos,0.2738,0.8643
2026-01-02,fraud_card_v7,5.0,34.97,,card_present_pos,0.813,0.8122
2026-01-02,fraud_card_v7,3.0,970.79,,card_present_pos,0.8949,0.7631
2026-01-02,fraud_card_v7,4.0,41.03,,card_present_pos,0.7072,0.8757
2026-01-02,fraud_card_v7,2.0,9.4,,card_present_pos,0.4058,0.9435
2026-01-02,fraud_card_v7,1.0,138.75,,card_present_pos,0.3268,0.8961
2026-01-02,fraud_card_v7,5.0,156.88,,card_present_pos,0.8473,0.7916
2026-01-02,fraud_card_v7,1.0,241.61,,card_present_pos,0.3736,0.9242
2026-01-02,fraud_card_v7,2.0,106.8,,card_present_pos,0.4535,0.9721
2026-01-02,fraud_card_v7,0.0,155.34,,card_present_pos,0.216,0.8296
2026-01-02,fraud_card_v7,1.0,419.98,,card_present_pos,0.4601,0.976
2026-01-02,fraud_card_v7,3.0,31.64,,card_present_pos,0.5654,0.9607
2026-01-02,fraud_card_v7,2.0,25.95,,card_present_pos,0.4138,0.9483
2026-01-02,fraud_card_v7,1.0,22.32,,card_present_pos,0.2778,0.8667
2026-01-02,fraud_ach_v3,,187.58,,all,0.0375,0.78
2026-01-02,fraud_ach_v3,,1026.0,,all,0.0038,0.78
2026-01-02,fraud_ach_v3,,414.91,,all,0.1455,0.78
2026-01-02,fraud_ach_v3,,398.89,,all,0.0414,0.78
2026-01-02,fraud_ach_v3,,39.67,,all,0.012,0.78
2026-01-02,fraud_ach_v3,,122.34,,all,0.0275,0.78
2026-01-02,fraud_ach_v3,,39.03,,all,0.061,0.78
