decision_id,outcome_type,outcome_value,outcome_date
DEC_0102_20260418,none_observed,,2026-06-25
DEC_0103_20260413,false_positive_appeal,case_filed,2026-06-19
DEC_0104_20260427,fraud_prevented,closed_clean,2026-05-26
DEC_0105_20260406,fraud_prevented,closed_clean,2026-05-31
DEC_0106_20260318,complaint_state_doi,case_filed,2026-05-06
DEC_0107_20260302,customer_friction_complaint,case_filed,2026-04-23
DEC_0108_20260401,sar_filed_later,"$6,131",2026-04-18
DEC_0109_20260401,customer_complaint_cfpb,case_filed,2026-06-06
DEC_0110_20260410,charge_off_30d,"$28,719",2026-06-04
DEC_0111_20260302,reopened_dispute,case_filed,2026-05-10
DEC_0112_20260315,paid_no_dispute,closed_clean,2026-05-03
DEC_0113_20260316,charge_off_30d,"$22,350",2026-05-28
DEC_0114_20260416,none_observed,,2026-06-24
DEC_0115_20260410,false_positive_appeal,case_filed,2026-05-28
DEC_0116_20260323,account_opened_clean,closed_clean,2026-04-27
DEC_0117_20260402,customer_friction_complaint,case_filed,2026-05-02
DEC_0118_20260403,repaid_late,closed_clean,2026-04-28
DEC_0119_20260414,reopened_dispute,case_filed,2026-06-07
DEC_0120_20260311,false_positive_appeal,case_filed,2026-03-23
DEC_0121_20260307,false_positive_appeal,case_filed,2026-03-23
DEC_0122_20260307,charge_off_30d,"$20,291",2026-05-14
DEC_0123_20260325,charge_off_30d,"$19,247",2026-04-07
DEC_0124_20260307,reopened_dispute,case_filed,2026-04-16
DEC_0125_20260319,customer_friction_complaint,case_filed,2026-04-03
DEC_0126_20260411,siu_fraud_confirmed,closed_clean,2026-05-19
DEC_0127_20260326,fraud_prevented,closed_clean,2026-04-25
DEC_0128_20260329,none_observed,,2026-04-01
DEC_0129_20260329,reopened_dispute,case_filed,2026-04-01
DEC_0130_20260308,customer_friction_complaint,case_filed,2026-05-02
DEC_0131_20260406,sar_filed_later,"$38,272",2026-05-31
DEC_0132_20260401,paid_no_dispute,closed_clean,2026-05-23
DEC_0133_20260404,none_observed,,2026-05-16
DEC_0134_20260314,false_positive_appeal,case_filed,2026-05-16
DEC_0135_20260310,siu_fraud_confirmed,closed_clean,2026-03-27
DEC_0136_20260321,fraud_prevented,closed_clean,2026-05-24
DEC_0137_20260414,repaid_on_time,closed_clean,2026-04-30
DEC_0138_20260307,none_observed,,2026-04-21
DEC_0139_20260303,false_positive_appeal,case_filed,2026-04-07
DEC_0140_20260303,fraud_prevented,closed_clean,2026-04-24
DEC_0141_20260310,fraud_prevented,closed_clean,2026-04-14
DEC_0142_20260307,none_observed,,2026-04-26
DEC_0143_20260413,none_observed,,2026-04-15
DEC_0144_20260407,none_observed,,2026-06-14
DEC_0145_20260418,complaint_state_doi,case_filed,2026-05-11
DEC_0146_20260427,repaid_late,closed_clean,2026-07-07
DEC_0147_20260422,none_observed,,2026-06-05
DEC_0148_20260401,repaid_on_time,closed_clean,2026-05-05
DEC_0149_20260417,legitimate_blocked,case_filed,2026-05-20
DEC_0150_20260312,none_observed,,2026-05-17
DEC_0151_20260411,none_observed,,2026-06-07
DEC_0152_20260311,none_observed,,2026-04-23
DEC_0153_20260312,none_observed,,2026-04-06
DEC_0154_20260303,none_observed,,2026-04-21
DEC_0155_20260317,none_observed,,2026-05-29
DEC_0156_20260429,paid_no_dispute,closed_clean,2026-07-05
DEC_0157_20260308,none_observed,,2026-05-15
DEC_0158_20260304,fraud_prevented,closed_clean,2026-04-30
DEC_0159_20260415,false_positive_appeal,case_filed,2026-06-26
DEC_0160_20260419,legitimate_blocked,case_filed,2026-06-24
DEC_0161_20260305,fraud_prevented,closed_clean,2026-03-15
DEC_0162_20260327,none_observed,,2026-04-11
DEC_0163_20260304,siu_fraud_confirmed,closed_clean,2026-05-08
DEC_0164_20260410,repaid_on_time,closed_clean,2026-06-10
DEC_0165_20260331,siu_fraud_confirmed,closed_clean,2026-06-09
DEC_0166_20260301,customer_complaint_cfpb,case_filed,2026-05-15
DEC_0167_20260424,false_positive_appeal,case_filed,2026-05-23
DEC_0168_20260412,false_positive_appeal,case_filed,2026-06-05
DEC_0169_20260306,customer_complaint_cfpb,case_filed,2026-03-14
DEC_0170_20260329,chargeback_30d,"$46,547",2026-04-13
DEC_0171_20260416,sar_filed_later,"$47,856",2026-05-30
DEC_0172_20260409,customer_friction_complaint,case_filed,2026-05-15
DEC_0173_20260423,account_opened_clean,closed_clean,2026-05-28
DEC_0174_20260331,chargeback_30d,"$48,026",2026-04-15
DEC_0175_20260316,repaid_late,closed_clean,2026-05-13
DEC_0176_20260312,repaid_late,closed_clean,2026-03-26
DEC_0177_20260411,siu_fraud_confirmed,closed_clean,2026-05-11
DEC_0178_20260329,reopened_dispute,case_filed,2026-06-10
DEC_0179_20260412,repaid_late,closed_clean,2026-04-14
DEC_0180_20260413,legitimate_blocked,case_filed,2026-05-15
DEC_0181_20260324,repaid_on_time,closed_clean,2026-06-06
DEC_0182_20260315,charge_off_30d,"$18,000",2026-04-30
DEC_0183_20260323,fraud_prevented,closed_clean,2026-03-27
DEC_0184_20260314,none_observed,,2026-04-23
DEC_0185_20260331,fraud_prevented,closed_clean,2026-06-07
DEC_0186_20260312,false_positive_appeal,case_filed,2026-05-20
DEC_0187_20260418,charge_off_30d,"$20,808",2026-04-26
DEC_0188_20260324,chargeback_30d,"$36,224",2026-03-26
DEC_0189_20260331,siu_fraud_confirmed,closed_clean,2026-05-30
DEC_0190_20260406,false_positive_appeal,case_filed,2026-06-01
DEC_0191_20260412,paid_no_dispute,closed_clean,2026-06-24
DEC_0192_20260329,repaid_late,closed_clean,2026-06-01
DEC_0193_20260414,repaid_on_time,closed_clean,2026-04-28
DEC_0194_20260318,repaid_late,closed_clean,2026-05-27
DEC_0195_20260406,charge_off_30d,"$28,476",2026-04-20
DEC_0196_20260303,paid_no_dispute,closed_clean,2026-04-27
DEC_0197_20260307,fraud_prevented,closed_clean,2026-05-19
DEC_0198_20260322,reopened_dispute,case_filed,2026-04-03
DEC_0199_20260319,complaint_state_doi,case_filed,2026-05-18
DEC_0200_20260402,account_opened_clean,closed_clean,2026-06-14
